Tweet_ID,Language,Geolocation_coordinate,RT,Likes,Retweets,Country,Date Created
1608088440687726595,ko,NO,YES,0,61,"",Wed Dec 28 13:12:15 +0000 2022
1608092784464138245,ko,NO,YES,0,61,"",Wed Dec 28 13:29:31 +0000 2022
1608093022939496451,tl,NO,NO,24,8,"",Wed Dec 28 13:30:28 +0000 2022
1608093259024470018,tl,NO,YES,0,8,"",Wed Dec 28 13:31:24 +0000 2022
1608096837554130944,ko,NO,YES,0,61,"",Wed Dec 28 13:45:37 +0000 2022
1608097807407415299,ko,NO,YES,0,61,"",Wed Dec 28 13:49:28 +0000 2022
1608098762593034241,ko,NO,YES,0,61,"",Wed Dec 28 13:53:16 +0000 2022
1608099461426991104,ko,NO,YES,0,628,"",Wed Dec 28 13:56:03 +0000 2022
1608099603932643331,ko,NO,YES,0,61,"",Wed Dec 28 13:56:37 +0000 2022
1608085389771964416,fr,NO,YES,0,171,"",Wed Dec 28 13:00:08 +0000 2022
1608085443366772739,fr,NO,YES,0,171,"",Wed Dec 28 13:00:21 +0000 2022
1608085448227979265,fr,NO,YES,0,10,"",Wed Dec 28 13:00:22 +0000 2022
1608085449334988802,en,NO,YES,0,1951,"",Wed Dec 28 13:00:22 +0000 2022
1608085463977394178,fr,NO,YES,0,11,"",Wed Dec 28 13:00:26 +0000 2022
1608085485473173506,fr,NO,NO,2,0,"",Wed Dec 28 13:00:31 +0000 2022
1608085516980723713,ca,NO,NO,0,0,"",Wed Dec 28 13:00:38 +0000 2022
1608085668198223872,en,NO,YES,0,1951,"",Wed Dec 28 13:01:14 +0000 2022
1608085671524155395,en,NO,YES,0,261,"",Wed Dec 28 13:01:15 +0000 2022
1608085718324183040,fr,NO,YES,0,26,"",Wed Dec 28 13:01:26 +0000 2022
1608085761978515461,pt,NO,YES,0,13,"",Wed Dec 28 13:01:37 +0000 2022
1608085893780316164,en,NO,YES,0,60,"",Wed Dec 28 13:02:08 +0000 2022
1608085928710635520,en,NO,YES,0,1951,"",Wed Dec 28 13:02:16 +0000 2022
1608086096008691712,fr,NO,NO,0,0,"",Wed Dec 28 13:02:56 +0000 2022
1608086111217389568,fr,NO,YES,0,171,"",Wed Dec 28 13:03:00 +0000 2022
1608086213646340096,fr,NO,NO,0,0,"",Wed Dec 28 13:03:24 +0000 2022
1608086225931407361,fr,NO,YES,0,11,"",Wed Dec 28 13:03:27 +0000 2022
1608086281770115072,en,NO,YES,0,61,"",Wed Dec 28 13:03:41 +0000 2022
1608086288036691968,en,NO,YES,0,61,"",Wed Dec 28 13:03:42 +0000 2022
1608086377379282944,fr,NO,NO,0,0,"",Wed Dec 28 13:04:03 +0000 2022
1608086460112195584,en,NO,YES,0,61,"",Wed Dec 28 13:04:23 +0000 2022
1608086477610565636,en,NO,YES,0,31,"",Wed Dec 28 13:04:27 +0000 2022
1608086509302984705,fr,NO,NO,0,0,"",Wed Dec 28 13:04:35 +0000 2022
1608086541368266752,fr,NO,YES,0,171,"",Wed Dec 28 13:04:42 +0000 2022
1608086627410116608,en,NO,YES,0,28,"",Wed Dec 28 13:05:03 +0000 2022
1608086770037530629,fr,NO,YES,0,57,"",Wed Dec 28 13:05:37 +0000 2022
1608086924052365314,fr,NO,YES,0,30,"",Wed Dec 28 13:06:14 +0000 2022
1608086954314194945,fr,NO,NO,1,0,"",Wed Dec 28 13:06:21 +0000 2022
1608087095926554626,en,NO,YES,0,261,"",Wed Dec 28 13:06:55 +0000 2022
1608087291746041858,en,NO,YES,0,61,"",Wed Dec 28 13:07:41 +0000 2022
1608087323740360707,en,NO,YES,0,61,"",Wed Dec 28 13:07:49 +0000 2022
1608087386277253120,en,NO,YES,0,261,"",Wed Dec 28 13:08:04 +0000 2022
1608087428304175105,fr,NO,YES,0,57,"",Wed Dec 28 13:08:14 +0000 2022
1608087614808272896,en,NO,YES,0,61,"",Wed Dec 28 13:08:58 +0000 2022
1608087660559728641,en,NO,YES,0,1951,"",Wed Dec 28 13:09:09 +0000 2022
1608087768495800321,und,NO,YES,0,12,"",Wed Dec 28 13:09:35 +0000 2022
1608087783498817537,fr,NO,NO,3,0,"",Wed Dec 28 13:09:39 +0000 2022
1608087799529340928,pt,NO,NO,0,0,"",Wed Dec 28 13:09:42 +0000 2022
1608088036419461122,en,NO,YES,0,261,"",Wed Dec 28 13:10:39 +0000 2022
1608088118720069633,fr,NO,NO,0,0,"",Wed Dec 28 13:10:58 +0000 2022
