"","LanguageLong","total","Percentage"
"1","English",1950272158,65.1203701129922
"2","Spanish; Castilian",340778018,11.3787147950106
"3","Portuguese",120374262,4.01934492135548
"4","French",108395765,3.61937809885964
"5","Bahasa",81838620,2.7326243683865
"6","Other",75538486,2.52226036551719
"7","German",58568778,1.95563500446878
"8","Japanese",43662286,1.45790125374867
"9","Thai",39140500,1.30691700435359
"10","Italian",34815121,1.16249086351804
"11","Turkish",25513904,0.851919494769997
"12","Dutch; Flemish",22001038,0.734623489113054
"13","Hindi",21589762,0.720890818404133
"14","Tagalog",14792307,0.493921067741052
"15","Catalan; Valencian",9040703,0.301872701728657
"16","Polish",6638565,0.221664349791305
"17","Chinese",4223234,0.141015478288837
"18","Arabic",3676179,0.122749092273925
"19","Russian",3270263,0.109195394116283
"20","Tamil",2905438,0.0970137409408435
"21","Korean",2823141,0.0942658110802825
"22","Greek, Modern (1453-)",2782878,0.0929214133504046
"23","Estonian",2306065,0.0770004359076829
"24","Swedish",2076709,0.0693421470138128
"25","Czech",1719134,0.0574025742482187
"26","Romanian; Moldavian; Moldovan",1424144,0.0475527397516163
"27","Finnish",1323741,0.044200243284067
"28","Danish",1281918,0.0428037565280706
"29","Urdu",1167583,0.0389860649888013
"30","Haitian; Haitian Creole",1158383,0.0386788732963075
"31","Marathi",1063769,0.0355196738622198
"32","Slovenian",821755,0.0274387292679599
"33","Ukrainian",646115,0.0215740391734372
"34","Lithuanian",641162,0.021408656515511
"35","Latvian",619387,0.0206815805259401
"36","Norwegian",573285,0.0191422162425326
"37","Telugu",557522,0.0186158833459261
"38","Persian",513695,0.0171524822256082
"39","Gujarati",510544,0.0170472690709291
"40","Vietnamese",477424,0.0159413789779514
"41","Kannada",423062,0.0141262099793267
"42","Bengali",402795,0.0134494867150038
"43","Welsh",372368,0.0124335169728833
"44","Basque",360671,0.0120429494481985
"45","Malayalam",271984,0.00908165492295977
"46","Hungarian",252312,0.0084247989474448
"47","Oriya",236828,0.00790778197281721
"48","Nepali",225830,0.0075405543386817
"49","Icelandic",151301,0.00505200111586982
"50","Burmese",138089,0.00461084713312765
"51","Panjabi; Punjabi",113870,0.00380216500263776
"52","Serbian",107113,0.00357654606066162
"53","Sinhala; Sinhalese",104876,0.00350185173282373
"54","Bulgarian",93214,0.0031124528721865
"55","Amharic",34302,0.00114535754738281
"56","Divehi; Dhivehi; Maldivian",17216,0.000574849149779676
"57","Pushto; Pashto",11988,0.000400284131479946
"58","Armenian",8649,0.000288793581345517
"59","Central Khmer",7356,0.000245619792389597
"60","Georgian",4860,0.000162277350599978
"61","Sindhi",4730,0.000157936598423436
"62","Lao",4448,0.000148520505240474
"63","Tibetan",670,2.23715689098735e-05
"64","Uighur; Uyghur",383,1.27885237201217e-05
