"","V4","total"
"1","#covid19",141043789
"2","#coronavirus",45238657
"3","#covid",20606091
"4","#whatshappeninginmyanmar",3552497
"5","#omicron",2965321
"6","#covid<u+30fc>19",2252353
"7","#lockdown",2182668
"8","#corona",1840356
"9","#stayhome",1356474
"10","#china",1209909
"11","#wuhan",686574
"12","#covidー19",645610
"13","#wearamask",589141
"14","#myanmarneedso2",550607
"15","#july11coup",461257
"16","#modijipostponejeeneet",394921
"17","#bts",385572
"18","#swamyjihelpjeeneet",358124
"19","#endsars",349939
"20","#july10coup",349383
"21","#satyagrahagainstexamsincovid",319539
"22","#longcovid",316088
"23","#pfizer",305184
"24","#vaccine",291757
"25","#coronavirusoutbreak",266085
"26","#protestagainstexamsincovid",262955
"27","#prevención😷|",259815
"28","#july21coup",215977
"29","#indiaunitedtopostponejeeneet",213333
"30","#postponeneetandjee",207212
"31","#unga",199213
"32","#trumpknew",198243
"33","#covid2019",196353
"34","#monkeypox",166541
"35","#postponejeeandneet",153978
"36","#trump",146851
"37","#sacwantscoviduncontrollable",146348
"38","#victon",146157
"39","#india",145320
"40","#hydroxychloroquine",144827
"41","#preveniresvencer",136661
"42","#epex",134927
"43","#wuhancoronavirus",128167
"44","#speakupforsscrailwaysstudends",125575
"45","#stopprivatisationsavegovtjob",124066
"46","#myanmarcovidsos",122067
"47","#dreadfulcovidamidmilitarycoup",116691
"48","#virus",113516
"49","#icrcsavemyanmarprisoners",112406
"50","#july23coup",107811
"51","#activoscontraelvirus",107547
"52","#postponesscchsl",107537
"53","#speakupforstudentsafety",106753
"54","#todoscontraelvirus",106573
"55","#icjbringsactojustice",105036
"56","#july17coup",103884
"57","#sputnikvgarantizavida",102840
"58","#surakshabeforepariksha",102441
"59","#lacovidnoesjuego",102419
"60","#vikrantrona",102248
"61","#postponejeeneetsept",99232
"62","#stayathome",99001
"63","#trumpvirus",98434
"64","#hopetogaza",96632
"65","#july12coup",96013
"66","#cuidémonosenfamilia",94952
"67","#cancelboardexams2021",94022
"68","#ntapostponejeeneet",93751
"69","#sputnikvcontracovid",93352
"70","#unidosenprevención",92619
"71","#rgpvspreadingcoronavirus",92426
"72","#trumphascovid",91625
"73","#shanghai",91435
"74","#army",91286
"75","#postponechsl2020",90916
"76","#antistudentmodigovt",90243
"77","#mj",89631
"78","#ripsubhasrisave30lakh",88194
"79","#endtigraysiege",87890
"80","#cancelboardexams",85771
"81","#togetherathome",85566
"82","#lacovidnoescoba",83771
"83","#prevenireslaclave",82620
"84","#ukraine",78696
"85","#coronaoutbreak",76953
"86","#omicronvariant",76649
"87","#breaking",76347
"88","#juntoscontralacovid19",76302
"89","#savejeeneetstudentspm",76121
"90","#neetjee",75354
"91","#july14coup",75254
"92","#postponeexamsorresignmodi",75133
"93","#prevenireselantídoto",74900
"94","#envenezuelanoscuidamos",73334
"95","#blood",73293
"96","#radicalescontralacovid19",73213
"97","#sopcantsavejeeneet",72604
"98","#july16coup",71854
"99","#parentsdemandpostponeneet",71834
"100","#largestvaccinedrive",71659
"101","#modijicancel12thboards",70260
"102","#safehands",69751
"103","#worldhealthday",68547
"104","#prevenirporlavida",67702
"105","#july18coup",66761
"106","#prevenirsalvavidas",65946
"107","#btsongma",65792
"108","#lisa",64860
"109","#vikrantronatrailer",64721
"110","#happyvirus",64718
"111","#pawankalyanbirthdaycdp",62844
"112","#bioseguridadporlavida",62493
"113","#july20coup",62250
"114","#cuídatedelacovid19",62145
"115","#daleunparaoalacovid",61731
"116","#luchacontralacovid19",61532
"117","#pltpinkmonday",60470
"118","#butter",59952
"119","#laprevenciónesclave",59646
"120","#bteuponlineexam2022",58979
"121","#modijihelpjeeneet",58748
"122","#evitaelcontagio",58524
"123","#enhypen",57727
"124","#july15coup",57613
"125","#scpostponejeeneet",56529
"126","#worldaidsday",56503
"127","#sotu",56013
"128","#notimippci",55778
"129","#worldhealthday2022",55721
"130","#cancelboardexam2021",55229
"131","#cuidémonosdelvirus",54724
"132","#coronavirusupdate",53999
"133","#prevenciónenfamilia",53898
"134","#astrazeneca",53733
"135","#stoparrestingdoctors",53266
"136","#july22coup",52894
"137","#coronavir",51999
"138","#jungkook",51926
"139","#anonymous",51722
"140","#july27coup",50711
"141","#cuídatedelcovid19",50665
"142","#choice",50580
"143","#mannkinahistudentskibaat",50453
"144","#nomeatnocoronavirus",49524
"145","#cuidémonosdelacovid",49458
"146","#july26coup",49325
"147","#getsetyo",49088
"148","#flexibilizaciónsegura",48793
"149","#cuba",48631
"150","#musicbank",48515
"151","#semanaflexible",48435
"152","#prisonerswithcovidneedrx",48274
"153","#swamyjihelpneetjeeaspirants",47422
"154","#preveniresclave",47199
"155","#antistudentnarendramodi",46930
"156","#july24coup",46681
"157","#executiveorder",46617
"158","#postponejeeneetincovid",46348
"159","#postponecglmains2020",46299
"160","#debates2020",46226
"161","#cuarentenaconsciente",46208
"162","#exigimosinsumosdecalidad",45934
"163","#juntoscontraelcovid19",45517
"164","#preveniressalud",45460
"165","#postponejeeneet",45371
"166","#cuídateyrefuerzatuvacuna",45030
"167","#donarplasmasalvavidas",44638
"168","#macron20h",44629
"169","#cancel12thboardexams2021",44565
"170","#chimalhuac�nbajacontagios",44265
"171","#examsincovidasuicide",44071
"172","#disciplinacolectiva",43908
"173","#polriajakpatuhiprokes",43802
"174","#endswat",43731
"175","#postponegate2022",43606
"176","#sabemoscomohacerlo",43577
"177","#lacovidnojuega",43575
"178","#beast",43438
"179","#deltavariant",43190
"180","#prevenirparavivir",43166
"181","#superbowl",43132
"182","#polridonorplasma",42955
"183","#patanjali",42334
"184","#tetapdisiplin5m",42144
"185","#vpdebate",42126
"186","#jimin",41990
"187","#stopsacfromrobbingo2",41936
"188","#mausehatpakaimasker",41771
"189","#kingkicchabdaycdp",41651
