"","V1","V2","V4","total"
"1",2020,1,"@spectatorindex",123397
"2",2020,1,"@WHO",105117
"3",2020,1,"@siwuol",67330
"4",2020,1,"@realDonaldTrump",66658
"5",2020,1,"@eyekon131",63249
"6",2020,2,"@realDonaldTrump",482373
"7",2020,2,"@OHmes2",140361
"8",2020,2,"@WHO",137482
"9",2020,2,"@washikirei",85241
"10",2020,2,"@naomusiker",80809
"11",2020,3,"@realDonaldTrump",1048196
"12",2020,3,"@narendramodi",172355
"13",2020,3,"@WHO",86786
"14",2020,3,"@intothebrush",85848
"15",2020,3,"@BarackObama",64668
"16",2020,4,"@realDonaldTrump",1324512
"17",2020,4,"@narendramodi",242063
"18",2020,4,"@CNN",216971
"19",2020,4,"@ConflitsFR",204724
"20",2020,4,"@WHO",173836
"21",2020,5,"@realDonaldTrump",1939343
"22",2020,5,"@CNN",284495
"23",2020,5,"@skaijackson",152123
"24",2020,5,"@JoeBiden",146611
"25",2020,5,"@RealJamesWoods",107064
"26",2020,6,"@realDonaldTrump",1906887
"27",2020,6,"@JoeBiden",353387
"28",2020,6,"@BrynnTannehill",154632
"29",2020,6,"@sheriantoinette",148799
"30",2020,6,"@angelicaxval",144571
"31",2020,7,"@realDonaldTrump",2889712
"32",2020,7,"@drdavidsamadi",413594
"33",2020,7,"@ProjectLincoln",304344
"34",2020,7,"@BernieSanders",201044
"35",2020,7,"@JoeBiden",160741
"36",2020,8,"@realDonaldTrump",2004728
"37",2020,8,"@DrRPNishank",841494
"38",2020,8,"@LicypriyaK",539883
"39",2020,8,"@narendramodi",497055
"40",2020,8,"@JoeBiden",400516
"41",2020,9,"@realDonaldTrump",2212580
"42",2020,9,"@JoeBiden",839837
"43",2020,9,"@Ibraofficial",207316
"44",2020,9,"@ProjectLincoln",121957
"45",2020,9,"@unicefchief",121252
"46",2020,10,"@realdonaldtrump",3504211
"47",2020,10,"@joebiden",1317612
"48",2020,10,"@flotus",259076
"49",2020,10,"@realDonaldTrump",231229
"50",2020,10,"@kamalaharris",197797
"51",2020,11,"@realdonaldtrump",1878390
"52",2020,11,"@joebiden",1343016
"53",2020,11,"@kamalaharris",308598
"54",2020,11,"@aoc",305711
"55",2020,11,"@donaldjtrumpjr",110701
"56",2020,12,"@realdonaldtrump",1379197
"57",2020,12,"@joebiden",318624
"58",2020,12,"@mippcivzla",283742
"59",2020,12,"@aoc",217431
"60",2020,12,"@yzngangel",121432
"61",2021,1,"@mippcivzla",773694
"62",2021,1,"@joebiden",347096
"63",2021,1,"@potus",223351
"64",2021,1,"@nicolasmaduro",220260
"65",2021,1,"@realdonaldtrump",201930
"66",2021,2,"@mippcivzla",508278
"67",2021,2,"@potus",442125
"68",2021,2,"@wendizzle",103011
"69",2021,2,"@rexchapman",87039
"70",2021,2,"@nicolasmaduro",83914
"71",2021,3,"@mippcivzla",1021619
"72",2021,3,"@vtvcanal8",329333
"73",2021,3,"@nicolasmaduro",288457
"74",2021,3,"@potus",209259
"75",2021,3,"@unicef",115345
"76",2021,4,"@mippcivzla",1467752
"77",2021,4,"@narendramodi",667705
"78",2021,4,"@vtvcanal8",385624
"79",2021,4,"@nicolasmaduro",282358
"80",2021,4,"@rahulgandhi",188820
"81",2021,5,"@narendramodi",742853
"82",2021,5,"@pmoindia",311620
"83",2021,5,"@kkmputrajaya",225261
"84",2021,5,"@tarak9999",191674
"85",2021,5,"@drrpnishank",152050
"86",2021,6,"@narendramodi",279287
"87",2021,6,"@drericding",186666
"88",2021,6,"@jackposobiec",144862
"89",2021,6,"@kkmputrajaya",101597
"90",2021,6,"@theepex",100835
"91",2021,7,"@kkmputrajaya",275785
"92",2021,7,"@faheemyounus",234224
"93",2021,7,"@drericding",99217
"94",2021,7,"@manopsi",63504
"95",2021,7,"@cdcgov",59221
"96",2021,8,"@occupydemocrats",205011
"97",2021,8,"@kylegriffin1",157849
"98",2021,8,"@rwmalonemd",112995
"99",2021,8,"@drericding",108537
"100",2021,8,"@usfda",98477
"101",2021,9,"@rwmalonemd",249771
"102",2021,9,"@potus",202390
"103",2021,9,"@petersweden7",163004
"104",2021,9,"@occupydemocrats",141830
"105",2021,9,"@gma",114580
"106",2021,10,"@rwmalonemd",157042
"107",2021,10,"@petersweden7",126608
"108",2021,10,"@occupydemocrats",104547
"109",2021,10,"@narendramodi",91976
"110",2021,10,"@jackposobiec",75324
"111",2021,11,"@rwmalonemd",319477
"112",2021,11,"@samiam2021md",133051
"113",2021,11,"@disclosetv",110624
"114",2021,11,"@chuckcallesto",95080
"115",2021,11,"@jnyjinjin",66452
"116",2021,12,"@disclosetv",135673
"117",2021,12,"@rwmalonemd",121298
"118",2021,12,"@suthichai",114535
"119",2021,12,"@drelidavid",112121
"120",2021,12,"@potus",105913
"121",2022,1,"@disclosetv",314796
"122",2022,1,"@jackposobiec",81949
"123",2022,1,"@michaelpsenger",71421
"124",2022,1,"@justintrudeau",70942
"125",2022,1,"@drericding",67136
"126",2022,2,"@disclosetv",154831
"127",2022,2,"@btstwt",107244
"128",2022,2,"@jackposobiec",98891
"129",2022,2,"@rterdogan",96787
"130",2022,2,"@michaelpsenger",90624
"131",2022,3,"@variant",335760
"132",2022,3,"@manuelrico",90036
"133",2022,3,"@drericding",86269
"134",2022,3,"@btstwt",84354
"135",2022,3,"@potus",65223
"136",2022,4,"@delta",148893
"137",2022,4,"@btstwt",130978
"138",2022,4,"@drericding",108844
"139",2022,4,"@manuelrico",81045
"140",2022,4,"@elonmusk",71861
"141",2022,5,"@elonmusk",140645
"142",2022,5,"@manuelrico",123720
"143",2022,5,"@jodipicoult",66852
"144",2022,5,"@joshuapotash",53435
"145",2022,5,"@btstwt",46031
"146",2022,6,"@manuelrico",187590
"147",2022,6,"@emilykrebs6",77657
"148",2022,6,"@delta",68147
"149",2022,6,"@potus",59843
"150",2022,6,"@justintrudeau",52632
"151",2022,7,"@delta",78176
"152",2022,7,"@potus",60125
"153",2022,7,"@praxeas",32949
"154",2022,7,"@kicchasudeep",30758
"155",2022,7,"@manuelrico",22252
"156",2022,8,"@vtvcanal8",97597
"157",2022,8,"@manuelrico",94553
"158",2022,8,"@occupydemocrats",49320
"159",2022,8,"@beautydiarynews",29627
"160",2022,8,"@drsimonegold",25775
"161",2022,9,"@manuelrico",229856
"162",2022,9,"@vtvcanal8",139640
"163",2022,9,"@upgovt",36598
"164",2022,9,"@toadmeister",35346
"165",2022,9,"@miraineko39",29390
"166",2022,10,"@manuelrico",209736
"167",2022,10,"@robroos",153983
"168",2022,10,"@drelidavid",55968
"169",2022,10,"@flsurgeongen",54866
"170",2022,10,"@repthomasmassie",50938
"171",2022,11,"@manuelrico",129252
"172",2022,11,"@elonmusk",98786
"173",2022,11,"@petersweden7",95209
"174",2022,11,"@potus",79216
"175",2022,11,"@drelidavid",62513
"176",2022,12,"@davidzweig",50392
"177",2022,12,"@elonmusk",30241
"178",2022,12,"@rwmalonemd",22390
"179",2022,12,"@vtvcanal8",16101
"180",2022,12,"@kimdotcom",15093
