Tweet_ID,NER_Text,Start_Pos,Eng_Pos,NER_Label,Prob
1607345767672418305,god,122,125,PER,0.9501
1607345767672418305,jesus,127,132,PER,0.8303
1607345767672418305,christian,136,145,MISC,0.9989
1607348623024738304,antivax,9,16,ORG,0.6324
1607349316452061184,billgates,114,123,MISC,0.8931
1607349552637509639,muir of ord,33,44,LOC,0.9266
1607349552637509639,scotland,46,54,LOC,0.9951
1607349552637509639,chip shop,99,108,ORG,0.7298
1607349552637509639,qu,137,139,PER,0.8182
1607345486633095168,covid,108,113,PER,0.6408
1607345496766439424,covid-19,10,18,MISC,0.7184
1607345496766439424,china,28,33,LOC,0.9998
1607345598960750593,china,30,35,LOC,0.9999
1607345608645304323,china,1,6,LOC,1.0
1607345608645304323,stuart campbell ray,167,186,PER,0.997
1607345608645304323,johns hopkins university,220,244,ORG,0.8249
1607345616606355457,kolkata airport,90,105,LOC,0.7496
1607345713100242944,drjamesolsson montagnier,1,25,ORG,0.9061
1607345769480359937,uk health security agency,97,122,ORG,0.94
1607345769480359937,ukhsa,124,129,ORG,1.0
1607345781312192512,coronavirus recovery resources,181,211,ORG,0.6133
1607345891312283654,zns,13,16,MISC,0.7897
1607345891312283654,zno,21,24,MISC,0.7096
1607345918864678913,south africa,124,136,LOC,0.828
1607345986321502209,singh rajput,17,29,PER,0.8656
1607345986321502209,mum,136,139,LOC,0.6617
1607346041652740097,ellie diop,0,10,PER,0.9942
1607346074385281025,singh rajput,17,29,PER,0.8656
1607346074385281025,mum,136,139,LOC,0.6617
1607346085382746115,india,31,36,LOC,0.9954
1607346144648237057,molsun,0,6,ORG,0.5258
1607346144648237057,fda,25,28,ORG,0.9997
1607346144648237057,molsun 200 tablet,53,70,MISC,0.7862
1607346144648237057,covid-19,101,109,MISC,0.73
1607346173395746816,shenzhen,54,62,LOC,0.9906
1607346173395746816,southeastern china,64,82,LOC,0.928
1607346173395746816,covid19,103,110,ORG,0.496
1607346173395746816,china covi,123,133,ORG,0.7714
1607346187103006721,west bengal,0,11,LOC,0.9358
1607346248780230656,west bengal,16,27,LOC,0.8982
1607346307944906752,china,46,51,LOC,0.9861
1607346307944906752,chinacovid chinacovidcases ccp chinafever chinacovidcases zerocovidpol,62,132,MISC,0.6236
1607346392611319809,coronavirus,37,48,MISC,0.8644
1607346392611319809,taokaenoi,78,87,ORG,0.3111
1607346401133871110,china,21,26,LOC,0.9998
1607346401133871110,chinacovid chinacovidcases,108,134,PER,0.5461
1607346432477995009,bethlehem,18,27,LOC,0.9925
1607346432477995009,west bank,29,38,LOC,0.9986
1607346432477995009,ap,40,42,LOC,0.9262
1607346432477995009,bethlehem,67,76,LOC,0.9991
1607346529559355395,johns hopkins csse,36,54,ORG,0.5786
1607346557749280771,johns hopkins csse,32,50,ORG,0.626
1607346618793328644,muhammad qasim,109,123,PER,0.9699
1607346618793328644,covid-19,144,152,MISC,0.7732
1607346618793328644,qasim,183,188,PER,0.9564
1607346618793328644,coronavirus,224,235,MISC,0.9698
1607346618793328644,muhammad qasim dreams,237,258,PER,0.7486
1607346645511077889,coronavirus,11,22,MISC,0.9563
1607346645511077889,godimedia news channels,61,84,ORG,0.6546
1607346676511178753,china,0,5,LOC,1.0
1607346837719224320,covi,135,139,ORG,0.2273
1607346884598988800,covid19,53,60,ORG,0.3742
1607346884598988800,bengaluru,64,73,LOC,0.9984
1607346896552751104,union,93,98,ORG,0.684
1607346896552751104,covid-19,177,185,MISC,0.9209
1607347006762094594,ccp,69,72,ORG,0.9907
1607347018728636416,coronavirus,25,36,MISC,0.7819
1607347018728636416,godimedia news channels,75,98,ORG,0.6084
1607347246022168576,india,19,24,LOC,0.9989
1607347291844657153,china,0,5,LOC,1.0
1607347346454765570,state health department,23,46,ORG,0.9689
1607347376636788736,ellie diop,0,10,PER,0.9942
1607347695118876673,coronavirus,16,27,MISC,0.9497
1607347695118876673,india,77,82,LOC,0.9931
1607347695118876673,tco,138,142,LOC,0.7293
1607347825385394176,pakistan,22,30,LOC,1.0
1607347825385394176,covid19,100,107,MISC,0.9828
1607347825385394176,pakistan,246,254,LOC,0.9984
1607347887419330561,uk health security agency,97,122,ORG,0.94
1607347887419330561,ukhsa,124,129,ORG,1.0
1607347984001368071,uk health security agency,97,122,ORG,0.94
1607347984001368071,ukhsa,124,129,ORG,1.0
1607348057779179525,china,30,35,LOC,0.9871
1607348057779179525,intravenous therapy,40,59,MISC,0.8459
1607348317008326657,covid,187,192,MISC,0.5982
1607348400378241025,china,42,47,LOC,0.9995
1607348418183327744,ashwini srivastava,101,119,PER,0.9983
