"","Year","Month","Day","Text","Count"
"1",2020,2,29,"china",242483
"2",2020,2,29,"us",172415
"3",2020,2,29,"corona",63641
"4",2020,2,29,"washington",59039
"5",2020,2,29,"iran",54732
"6",2020,7,17,"us",123396
"7",2020,7,17,"florida",92948
"8",2020,7,17,"portland",46916
"9",2020,7,17,"china",42859
"10",2020,7,17,"india",42717
"11",2021,1,23,"uk",67704
"12",2021,1,23,"india",60179
"13",2021,1,23,"china",44138
"14",2021,1,23,"us",34891
"15",2021,1,23,"syria",27766
"16",2021,2,3,"uk",50365
"17",2021,2,3,"us",35308
"18",2021,2,3,"india",34109
"19",2021,2,3,"china",25815
"20",2021,2,3,"canada",14316
"21",2021,2,5,"uk",49730
"22",2021,2,5,"us",44395
"23",2021,2,5,"india",34338
"24",2021,2,5,"china",19540
"25",2021,2,5,"america",16436
"26",2021,2,8,"uk",36444
"27",2021,2,8,"us",35844
"28",2021,2,8,"florida",35054
"29",2021,2,8,"india",31050
"30",2021,2,8,"south africa",18802
"31",2021,2,20,"uk",30072
"32",2021,2,20,"us",28479
"33",2021,2,20,"florida",19134
"34",2021,2,20,"china",14031
"35",2021,2,20,"texas",13102
"36",2021,5,1,"india",289425
"37",2021,5,1,"delhi",55282
"38",2021,5,1,"us",39498
"39",2021,5,1,"covid",30894
"40",2021,5,1,"uk",28073
"41",2021,5,9,"india",151082
"42",2021,5,9,"covid",35663
"43",2021,5,9,"china",30641
"44",2021,5,9,"us",29891
"45",2021,5,9,"delhi",23134
"46",2021,5,11,"india",102264
"47",2021,5,11,"us",23803
"48",2021,5,11,"china",20989
"49",2021,5,11,"covid",15798
"50",2021,5,11,"uk",13751
"51",2021,6,12,"india",39553
"52",2021,6,12,"uk",30830
"53",2021,6,12,"us",25928
"54",2021,6,12,"china",16116
"55",2021,6,12,"wuhan",15262
"56",2021,6,30,"india",38609
"57",2021,6,30,"us",37630
"58",2021,6,30,"uk",33216
"59",2021,6,30,"china",17764
"60",2021,6,30,"covid",17362
"61",2021,7,4,"uk",38838
"62",2021,7,4,"india",23992
"63",2021,7,4,"us",22034
"64",2021,7,4,"covid",18576
"65",2021,7,4,"malaysia",13648
"66",2021,7,8,"uk",43084
"67",2021,7,8,"us",33282
"68",2021,7,8,"tokyo",30176
"69",2021,7,8,"england",22976
"70",2021,7,8,"japan",22835
"71",2021,7,9,"uk",35043
"72",2021,7,9,"us",27795
"73",2021,7,9,"india",20084
"74",2021,7,9,"covid",14812
"75",2021,7,9,"sydney",14582
"76",2021,7,10,"mandalay",55851
"77",2021,7,10,"uk",31895
"78",2021,7,10,"myanmar",25067
"79",2021,7,10,"india",23524
"80",2021,7,10,"us",22248
"81",2021,7,16,"uk",51381
"82",2021,7,16,"myanmar",41557
"83",2021,7,16,"us",41203
"84",2021,7,16,"india",31905
"85",2021,7,16,"covid",26115
"86",2021,7,18,"uk",50796
"87",2021,7,18,"us",39591
"88",2021,7,18,"myanmar",37454
"89",2021,7,18,"texas",28542
"90",2021,7,18,"covid",26507
"91",2021,7,20,"uk",56666
"92",2021,7,20,"us",45860
"93",2021,7,20,"india",40121
"94",2021,7,20,"covid",32756
"95",2021,7,20,"wuhan",26500
"96",2021,7,21,"us",54657
"97",2021,7,21,"alabama",38303
"98",2021,7,21,"covid",33410
"99",2021,7,21,"uk",31330
"100",2021,7,21,"india",29968
"101",2021,7,22,"us",41318
"102",2021,7,22,"uk",38083
"103",2021,7,22,"covid",32648
"104",2021,7,22,"florida",30991
"105",2021,7,22,"texas",25011
"106",2021,7,23,"myanmar",41320
"107",2021,7,23,"us",40873
"108",2021,7,23,"florida",36679
"109",2021,7,23,"uk",33511
"110",2021,7,23,"covid",26528
"111",2021,7,25,"us",40878
"112",2021,7,25,"covid",36972
"113",2021,7,25,"uk",35540
"114",2021,7,25,"myanmar",22935
"115",2021,7,25,"florida",21622
"116",2021,7,27,"us",55170
"117",2021,7,27,"uk",29115
"118",2021,7,27,"covid",25207
"119",2021,7,27,"myanmar",23796
"120",2021,7,27,"florida",23618
"121",2021,7,28,"us",52650
"122",2021,7,28,"kerala",51719
"123",2021,7,28,"india",35302
"124",2021,7,28,"covid",33131
"125",2021,7,28,"florida",28230
"126",2021,7,29,"us",56616
"127",2021,7,29,"kerala",34407
"128",2021,7,29,"florida",33200
"129",2021,7,29,"india",32197
"130",2021,7,29,"alberta",31872
"131",2021,7,31,"florida",50689
"132",2021,7,31,"us",38351
"133",2021,7,31,"covid",25138
"134",2021,7,31,"usa",19856
"135",2021,7,31,"china",19265
"136",2021,8,9,"florida",72750
"137",2021,8,9,"us",69884
"138",2021,8,9,"covid",39973
"139",2021,8,9,"india",31037
"140",2021,8,9,"texas",21060
"141",2021,8,10,"florida",103781
"142",2021,8,10,"us",59752
"143",2021,8,10,"texas",48465
"144",2021,8,10,"covid",37247
"145",2021,8,10,"uk",23390
"146",2021,8,11,"florida",111792
"147",2021,8,11,"us",57333
"148",2021,8,11,"texas",40189
"149",2021,8,11,"covid",31190
"150",2021,8,11,"california",23990
"151",2021,8,13,"florida",84241
"152",2021,8,13,"us",48573
"153",2021,8,13,"covid",36296
"154",2021,8,13,"texas",31900
"155",2021,8,13,"broward county",26323
"156",2021,8,14,"florida",66685
"157",2021,8,14,"us",49165
"158",2021,8,14,"covid",32839
"159",2021,8,14,"texas",24770
"160",2021,8,14,"nsw",22651
"161",2021,8,15,"us",51493
"162",2021,8,15,"florida",34715
"163",2021,8,15,"afghanistan",33167
"164",2021,8,15,"covid",23186
"165",2021,8,15,"china",18441
"166",2021,8,17,"texas",89693
"167",2021,8,17,"new zealand",58645
"168",2021,8,17,"us",44679
"169",2021,8,17,"florida",40000
"170",2021,8,17,"covid",30888
"171",2021,8,19,"us",42210
"172",2021,8,19,"texas",42066
"173",2021,8,19,"afghanistan",37676
"174",2021,8,19,"covid",34925
"175",2021,8,19,"florida",31467
"176",2021,8,20,"texas",50449
"177",2021,8,20,"us",46033
"178",2021,8,20,"florida",36448
"179",2021,8,20,"covid",33989
"180",2021,8,20,"afghanistan",26543
"181",2021,8,21,"florida",47120
"182",2021,8,21,"us",36639
"183",2021,8,21,"covid",34939
"184",2021,8,21,"australia",31203
"185",2021,8,21,"afghanistan",24777
"186",2021,8,27,"florida",94854
"187",2021,8,27,"us",58005
"188",2021,8,27,"denmark",34555
"189",2021,8,27,"texas",32411
"190",2021,8,27,"afghanistan",31118
"191",2021,8,28,"florida",67849
"192",2021,8,28,"us",51634
"193",2021,8,28,"india",31698
"194",2021,8,28,"covid",27708
"195",2021,8,28,"texas",27675
"196",2021,9,24,"us",31099
"197",2021,9,24,"norway",28591
"198",2021,9,24,"sweden",25833
"199",2021,9,24,"india",23890
"200",2021,9,24,"uk",23711
"201",2021,10,26,"us",30563
"202",2021,10,26,"florida",27242
"203",2021,10,26,"uk",21249
"204",2021,10,26,"covid",19489
"205",2021,10,26,"china",17329
"206",2021,10,27,"us",31207
"207",2021,10,27,"uk",26605
"208",2021,10,27,"covid",21234
"209",2021,10,27,"florida",12548
"210",2021,10,27,"malaysia",9221
"211",2021,10,29,"florida",38310
"212",2021,10,29,"covid",30843
"213",2021,10,29,"uk",27900
"214",2021,10,29,"us",26830
"215",2021,10,29,"new york city",12647
"216",2021,10,30,"florida",21676
"217",2021,10,30,"us",19819
"218",2021,10,30,"covid",19765
"219",2021,10,30,"uk",15986
"220",2021,10,30,"maine",12937
"221",2021,12,19,"uk",57560
"222",2021,12,19,"us",34824
"223",2021,12,19,"covid",33579
"224",2021,12,19,"london",26503
"225",2021,12,19,"india",19699
"226",2021,12,21,"us",71389
"227",2021,12,21,"covid",37194
"228",2021,12,21,"uk",35700
"229",2021,12,21,"nyc",17904
"230",2021,12,21,"south africa",14424
"231",2022,1,1,"florida",39571
"232",2022,1,1,"us",35350
"233",2022,1,1,"covid",28916
"234",2022,1,1,"uk",18752
"235",2022,1,1,"india",17536
"236",2022,1,2,"us",40261
"237",2022,1,2,"covid",38436
"238",2022,1,2,"amsterdam",36218
"239",2022,1,2,"italy",27093
"240",2022,1,2,"naples",23560
"241",2022,1,3,"us",44446
"242",2022,1,3,"florida",34747
"243",2022,1,3,"covid",33686
"244",2022,1,3,"ontario",26384
"245",2022,1,3,"uk",24138
"246",2022,1,4,"us",72414
"247",2022,1,4,"florida",36025
"248",2022,1,4,"covid",31536
"249",2022,1,4,"uk",26605
"250",2022,1,4,"china",22189
"251",2022,1,5,"us",63704
"252",2022,1,5,"covid",31715
"253",2022,1,5,"uk",30477
"254",2022,1,5,"australia",26395
"255",2022,1,5,"france",24127
"256",2022,1,6,"us",40626
"257",2022,1,6,"australia",35254
"258",2022,1,6,"covid",33444
"259",2022,1,6,"uk",26340
"260",2022,1,6,"florida",26243
"261",2022,1,7,"us",42413
"262",2022,1,7,"florida",32086
"263",2022,1,7,"covid",29686
"264",2022,1,7,"india",28736
"265",2022,1,7,"australia",25817
"266",2022,1,8,"us",39849
"267",2022,1,8,"covid",29246
"268",2022,1,8,"uk",28839
"269",2022,1,8,"australia",21328
"270",2022,1,8,"india",21314
"271",2022,1,9,"uk",42150
"272",2022,1,9,"covid",40152
"273",2022,1,9,"us",39079
"274",2022,1,9,"india",22501
"275",2022,1,9,"florida",17990
"276",2022,1,10,"covid",48077
"277",2022,1,10,"us",44306
"278",2022,1,10,"uk",25580
"279",2022,1,10,"florida",25092
"280",2022,1,10,"india",23977
"281",2022,1,11,"us",61212
"282",2022,1,11,"covid",41799
"283",2022,1,11,"india",24390
"284",2022,1,11,"uk",23647
"285",2022,1,11,"downing street",23589
"286",2022,1,12,"us",43397
"287",2022,1,12,"covid",29541
"288",2022,1,12,"uk",25401
"289",2022,1,12,"india",17816
"290",2022,1,12,"china",17500
"291",2022,1,13,"us",50539
"292",2022,1,13,"covid",29424
"293",2022,1,13,"uk",21799
"294",2022,1,13,"china",18611
"295",2022,1,13,"india",17992
"296",2022,1,14,"us",43397
"297",2022,1,14,"australia",27948
"298",2022,1,14,"covid",27550
"299",2022,1,14,"uk",22290
"300",2022,1,14,"la",22156
"301",2022,1,15,"us",44228
"302",2022,1,15,"korea",36277
"303",2022,1,15,"covid",29846
"304",2022,1,15,"australia",22966
"305",2022,1,15,"uk",21272
"306",2022,1,16,"australia",56878
"307",2022,1,16,"india",38160
"308",2022,1,16,"covid",36961
"309",2022,1,16,"uk",29313
"310",2022,1,16,"us",26435
"311",2022,1,17,"us",35414
"312",2022,1,17,"australia",30365
"313",2022,1,17,"covid",27771
"314",2022,1,17,"uk",27737
"315",2022,1,17,"france",27400
"316",2022,1,18,"us",45204
"317",2022,1,18,"covid",27519
"318",2022,1,18,"uk",24277
"319",2022,1,18,"israel",20011
"320",2022,1,18,"china",18274
"321",2022,1,19,"uk",64353
"322",2022,1,19,"us",49056
"323",2022,1,19,"england",37840
"324",2022,1,19,"covid",27133
"325",2022,1,19,"israel",24562
"326",2022,1,20,"uk",51440
"327",2022,1,20,"us",34268
"328",2022,1,20,"covid",27518
"329",2022,1,20,"england",25169
"330",2022,1,20,"india",15665
"331",2022,1,21,"uk",42003
"332",2022,1,21,"us",30499
"333",2022,1,21,"covid",27820
"334",2022,1,21,"ireland",21841
"335",2022,1,21,"texas",20528
"336",2022,1,22,"us",39971
"337",2022,1,22,"uk",35867
"338",2022,1,22,"covid",35487
"339",2022,1,22,"ireland",21276
