"","Year","Month","Text","Count"
"1",2020,2,"china",242483
"2",2020,2,"us",172415
"3",2020,2,"corona",63641
"4",2020,2,"washington",59039
"5",2020,2,"iran",54732
"6",2020,7,"us",123396
"7",2020,7,"florida",92948
"8",2020,7,"portland",46916
"9",2020,7,"china",42859
"10",2020,7,"india",42717
"11",2020,12,"uk",160479
"12",2020,12,"us",138238
"13",2020,12,"china",60998
"14",2020,12,"pakistan",37159
"15",2020,12,"israel",27614
"16",2021,1,"uk",67704
"17",2021,1,"india",60179
"18",2021,1,"china",44138
"19",2021,1,"us",34891
"20",2021,1,"syria",27766
"21",2021,2,"uk",166611
"22",2021,2,"us",144026
"23",2021,2,"india",99497
"24",2021,2,"china",59386
"25",2021,2,"florida",54188
"26",2021,5,"india",542771
"27",2021,5,"us",93192
"28",2021,5,"covid",82355
"29",2021,5,"delhi",78416
"30",2021,5,"china",51630
"31",2021,6,"india",78162
"32",2021,6,"uk",64046
"33",2021,6,"us",63558
"34",2021,6,"china",33880
"35",2021,6,"covid",17362
"36",2021,7,"us",612526
"37",2021,7,"uk",475282
"38",2021,7,"covid",331800
"39",2021,7,"india",237093
"40",2021,7,"florida",225029
"41",2021,8,"florida",791702
"42",2021,8,"us",615400
"43",2021,8,"texas",408678
"44",2021,8,"covid",363180
"45",2021,8,"afghanistan",153281
"46",2021,9,"us",31099
"47",2021,9,"norway",28591
"48",2021,9,"sweden",25833
"49",2021,9,"india",23890
"50",2021,9,"uk",23711
"51",2021,10,"us",108419
"52",2021,10,"florida",99776
"53",2021,10,"uk",91740
"54",2021,10,"covid",91331
"55",2021,10,"china",17329
"56",2021,11,"us",694731
"57",2021,11,"uk",548916
"58",2021,11,"covid",367622
"59",2021,11,"austria",292379
"60",2021,11,"south africa",256508
"61",2021,12,"us",1180634
"62",2021,12,"uk",1142448
"63",2021,12,"covid",713527
"64",2021,12,"south africa",369510
"65",2021,12,"india",147307
"66",2022,1,"us",1255430
"67",2022,1,"covid",958919
"68",2022,1,"uk",776034
"69",2022,1,"canada",280164
"70",2022,1,"australia",246951
"71",2022,2,"us",687954
"72",2022,2,"canada",431258
"73",2022,2,"covid",353682
"74",2022,2,"uk",313072
"75",2022,2,"ukraine",293990
"76",2022,3,"us",669817
"77",2022,3,"ukraine",579951
"78",2022,3,"uk",416215
"79",2022,3,"china",324173
"80",2022,3,"covid",322709
"81",2022,4,"us",593443
"82",2022,4,"shanghai",548377
"83",2022,4,"china",533041
"84",2022,4,"uk",352640
"85",2022,4,"covid",332598
"86",2022,5,"us",566620
"87",2022,5,"china",316232
"88",2022,5,"covid",258903
"89",2022,5,"uk",197630
"90",2022,5,"india",132700
"91",2022,6,"us",366914
"92",2022,6,"covid",256269
"93",2022,6,"uk",237083
"94",2022,6,"china",92295
"95",2022,6,"florida",91735
"96",2022,7,"covid",108252
"97",2022,7,"us",98536
"98",2022,7,"uk",80087
"99",2022,7,"china",34959
"100",2022,7,"canada",31479
"101",2022,8,"us",119425
"102",2022,8,"covid",85344
"103",2022,8,"china",46744
"104",2022,8,"uk",36358
"105",2022,8,"costa rica",31624
"106",2022,9,"us",370395
"107",2022,9,"tigray",251234
"108",2022,9,"covid",231839
"109",2022,9,"china",213001
"110",2022,9,"uk",159621
"111",2022,10,"us",260590
"112",2022,10,"covid",230555
"113",2022,10,"china",159842
"114",2022,10,"uk",155638
"115",2022,10,"florida",151602
"116",2022,11,"china",92478
"117",2022,11,"us",35539
"118",2022,11,"covid",30606
"119",2022,11,"guangzhou",13877
"120",2022,11,"uk",9574
