"","Year","Month","Text","Count"
"1",2020,2,"cdc",85263
"2",2020,2,"trump",21850
"3",2020,2,"cnn",10748
"4",2020,2,"fox news",10374
"5",2020,2,"bts",9398
"6",2020,7,"cdc",261349
"7",2020,7,"trump administration",37945
"8",2020,7,"trump",23295
"9",2020,7,"covid",16382
"10",2020,7,"congress",10660
"11",2020,12,"congress",139409
"12",2020,12,"senate",48334
"13",2020,12,"cdc",45409
"14",2020,12,"eu",27701
"15",2020,12,"pfizer",27512
"16",2021,1,"nhs",25692
"17",2021,1,"cdc",21600
"18",2021,1,"pfizer",19783
"19",2021,1,"senate",19136
"20",2021,1,"national guard",12826
"21",2021,2,"cdc",154022
"22",2021,2,"senate",153679
"23",2021,2,"nhs",35988
"24",2021,2,"pfizer",34814
"25",2021,2,"congress",32695
"26",2021,5,"covid",90875
"27",2021,5,"cdc",39191
"28",2021,5,"pfizer",36862
"29",2021,5,"covid19",20455
"30",2021,5,"fda",12920
"31",2021,6,"covid",42497
"32",2021,6,"cdc",37486
"33",2021,6,"delta",18336
"34",2021,6,"pfizer",14782
"35",2021,6,"g7",13485
"36",2021,7,"cdc",1393716
"37",2021,7,"covid",686944
"38",2021,7,"delta",222457
"39",2021,7,"pfizer",175179
"40",2021,7,"sac",107864
"41",2021,8,"covid",679825
"42",2021,8,"cdc",608056
"43",2021,8,"delta",116199
"44",2021,8,"fda",105053
"45",2021,8,"icu",77413
"46",2021,9,"cdc",85526
"47",2021,9,"covid",76931
"48",2021,9,"fda",42381
"49",2021,9,"pfizer",41060
"50",2021,9,"moon jae-in",29588
"51",2021,10,"fda",110602
"52",2021,10,"cdc",104861
"53",2021,10,"covid",101809
"54",2021,10,"pfizer",79892
"55",2021,10,"sec",11051
"56",2021,11,"covid",872601
"57",2021,11,"cdc",715043
"58",2021,11,"pfizer",540347
"59",2021,11,"omicron",420764
"60",2021,11,"fda",169641
"61",2021,12,"omicron",2751772
"62",2021,12,"cdc",1812787
"63",2021,12,"covid",1319466
"64",2021,12,"pfizer",578079
"65",2021,12,"delta",307709
"66",2022,1,"covid",1586426
"67",2022,1,"omicron",1493752
"68",2022,1,"cdc",1421310
"69",2022,1,"supreme court",317939
"70",2022,1,"pfizer",261735
"71",2022,2,"cdc",776974
"72",2022,2,"covid",749391
"73",2022,2,"omicron",340918
"74",2022,2,"pfizer",246375
"75",2022,2,"fda",192935
"76",2022,3,"covid",758911
"77",2022,3,"cdc",598155
"78",2022,3,"pfizer",395203
"79",2022,3,"fda",67291
"80",2022,3,"nhs",56865
"81",2022,4,"cdc",744585
"82",2022,4,"covid",631744
"83",2022,4,"pfizer",126119
"84",2022,4,"delta",93041
"85",2022,4,"fda",75213
"86",2022,5,"pfizer",623858
"87",2022,5,"cdc",494813
"88",2022,5,"covid",467568
"89",2022,5,"fda",99866
"90",2022,5,"supreme court",58991
"91",2022,6,"covid",390232
"92",2022,6,"cdc",347643
"93",2022,6,"pfizer",229723
"94",2022,6,"fda",180361
"95",2022,6,"delta",37626
"96",2022,7,"covid",135109
"97",2022,7,"pfizer",50055
"98",2022,7,"delta",47577
"99",2022,7,"cdc",28304
"100",2022,7,"moderna",16265
"101",2022,8,"covid",216501
"102",2022,8,"cdc",103804
"103",2022,8,"pfizer",47356
"104",2022,8,"delta",18829
"105",2022,8,"fda",17122
"106",2022,9,"covid",375884
"107",2022,9,"cdc",308020
"108",2022,9,"pfizer",128131
"109",2022,9,"moderna",55532
"110",2022,9,"ivermectin",30642
"111",2022,10,"cdc",645686
"112",2022,10,"pfizer",578036
"113",2022,10,"covid",320370
"114",2022,10,"eu",76983
"115",2022,10,"moderna",53018
"116",2022,11,"covid",18099
"117",2022,11,"trump",8474
"118",2022,11,"pfizer",7382
"119",2022,11,"northern polling unit canvassers conference",4227
"120",2022,11,"delta",2678
