Tweet_ID,NER_Text,Start_Pos,Eng_Pos,NER_Label,Prob
1578038419531382784,valy,4,8,PER,0.7614
1578038419531382784,chile,85,90,LOC,1.0
1578037363758055424,tulum,106,111,LOC,1.0
1578037363758055424,covid19,151,158,MISC,0.9998
1578037363758055424,sectur,203,209,ORG,0.9999
1578037363758055424,torrucoturismo,215,229,ORG,0.9996
1578037363758055424,sre,232,235,ORG,0.9999
1578037363758055424,ayto,240,244,ORG,0.9998
1578037363758055424,tulum,245,250,LOC,0.9995
1578037363992715266,felinucho,4,13,PER,0.9994
1578037363992715266,coronavarcl,105,116,MISC,0.9999
1578037364793942016,danialonpri,4,15,ORG,0.9963
1578037364793942016,abogado aaron siri,21,39,PER,0.9997
1578037364793942016,vakvnas,129,136,MISC,0.9999
1578037367188996096,gobierno bolivariano,15,35,ORG,0.9999
1578037367188996096,plan de inmunización masivo,108,135,MISC,0.9999
1578037367188996096,covid19,223,230,MISC,0.9999
1578037367188996096,pueblocontechopropio,233,253,MISC,0.9903
1578037382682914818,dianacm64,4,13,PER,0.9963
1578037382682914818,corona,99,105,MISC,0.9561
1578037411132887040,gobierno ayuso,57,71,ORG,0.9999
1578037413393620993,zodi,4,8,ORG,0.9843
1578037413393620993,covid19,128,135,MISC,0.9999
1578037414802558979,macaballeroma,4,17,PER,0.9158
1578037436705570816,gob,4,7,ORG,0.9998
1578037436705570816,puebla,8,14,LOC,0.9999
1578037436705570816,saludgobpue,31,42,ORG,0.9133
1578037436705570816,jantoniomtzga,45,58,PER,0.9977
1578037436705570816,covid19,80,87,MISC,0.9999
1578037436705570816,puebla,91,97,LOC,1.0
1578037444217380865,valencia,60,68,LOC,1.0
1578037444217380865,yak 42,70,76,MISC,0.8577
1578037444217380865,eta,119,122,ORG,0.5682
1578037453675692034,bluelilak,1,10,PER,0.996
1578037453675692034,yourmung,12,20,PER,0.9708
1578037453675692034,doctora polo,108,120,PER,0.994
1578037475439628288,malvinas argentinas,53,72,MISC,0.9305
1578037475439628288,republica,79,88,LOC,0.9998
1578037475439628288,brown,211,216,PER,0.9997
1578037502774059008,zafra 2022,44,54,MISC,0.9981
1578037502774059008,ingenio la corona,61,78,LOC,0.9167
