"","Year","Month","Day","Text","Count"
"1",2020,2,29,"méxico",14175
"2",2020,2,29,"ecuador",5847
"3",2020,2,29,"china",4832
"4",2020,2,29,"españa",2695
"5",2020,2,29,"italia",2329
"6",2020,4,22,"argentina",9200
"7",2020,4,22,"españa",6532
"8",2020,4,22,"méxico",6114
"9",2020,4,22,"venezuela",5855
"10",2020,4,22,"wuhan",3876
"11",2020,8,28,"españa",13195
"12",2020,8,28,"venezuela",12461
"13",2020,8,28,"méxico",7422
"14",2020,8,28,"sevilla",6733
"15",2020,8,28,"argentina",6404
"16",2020,9,15,"venezuela",10573
"17",2020,9,15,"españa",9580
"18",2020,9,15,"madrid",9221
"19",2020,9,15,"argentina",8605
"20",2020,9,15,"méxico",5872
"21",2020,9,18,"madrid",24366
"22",2020,9,18,"venezuela",10669
"23",2020,9,18,"españa",8610
"24",2020,9,18,"argentina",7420
"25",2020,9,18,"méxico",5907
"26",2020,9,24,"madrid",10875
"27",2020,9,24,"españa",8129
"28",2020,9,24,"venezuela",7794
"29",2020,9,24,"méxico",6079
"30",2020,9,24,"argentina",3954
"31",2020,9,27,"madrid",44826
"32",2020,9,27,"españa",20635
"33",2020,9,27,"venezuela",13651
"34",2020,9,27,"chile",7179
"35",2020,9,27,"navarra",5974
"36",2021,1,22,"méxico",21030
"37",2021,1,22,"venezuela",11541
"38",2021,1,22,"españa",11406
"39",2021,1,22,"colombia",10662
"40",2021,1,22,"cuba",9541
"41",2021,1,23,"españa",12087
"42",2021,1,23,"méxico",11205
"43",2021,1,23,"venezuela",11000
"44",2021,1,23,"wuhan",7366
"45",2021,1,23,"colombia",7343
"46",2021,1,24,"venezuela",23729
"47",2021,1,24,"méxico",12435
"48",2021,1,24,"españa",9637
"49",2021,1,24,"cuba",6989
"50",2021,1,24,"brasil",6115
"51",2021,1,26,"méxico",25263
"52",2021,1,26,"venezuela",23797
"53",2021,1,26,"colombia",21028
"54",2021,1,26,"españa",11530
"55",2021,1,26,"mk",5271
"56",2021,1,27,"méxico",21712
"57",2021,1,27,"venezuela",14803
"58",2021,1,27,"colombia",12611
"59",2021,1,27,"españa",8665
"60",2021,1,27,"madrid",7601
"61",2021,1,29,"méxico",30010
"62",2021,1,29,"venezuela",10210
"63",2021,1,29,"brasil",8838
"64",2021,1,29,"colombia",8085
"65",2021,1,29,"españa",7186
"66",2021,2,4,"venezuela",11895
"67",2021,2,4,"méxico",11491
"68",2021,2,4,"colombia",5743
"69",2021,2,4,"españa",5680
"70",2021,2,4,"wuhan",5077
"71",2021,2,5,"méxico",15283
"72",2021,2,5,"venezuela",8160
"73",2021,2,5,"españa",7929
"74",2021,2,5,"colombia",4675
"75",2021,2,5,"covid",4653
"76",2021,2,9,"méxico",17741
"77",2021,2,9,"wuhan",15887
"78",2021,2,9,"venezuela",11739
"79",2021,2,9,"españa",6593
"80",2021,2,9,"china",6034
"81",2021,2,21,"venezuela",27887
"82",2021,2,21,"méxico",10425
"83",2021,2,21,"argentina",4554
"84",2021,2,21,"rusia",4494
"85",2021,2,21,"perú",4386
"86",2021,3,3,"venezuela",17008
"87",2021,3,3,"argentina",7573
"88",2021,3,3,"méxico",7206
"89",2021,3,3,"españa",5745
"90",2021,3,3,"brasil",4634
"91",2021,3,4,"venezuela",29720
"92",2021,3,4,"brasil",8820
"93",2021,3,4,"cuba",6472
"94",2021,3,4,"méxico",5438
"95",2021,3,4,"caracas",4552
"96",2021,3,5,"venezuela",10257
"97",2021,3,5,"méxico",6035
"98",2021,3,5,"brasil",5294
"99",2021,3,5,"chile",4974
"100",2021,3,5,"madrid",4889
"101",2021,3,10,"méxico",8348
"102",2021,3,10,"venezuela",7992
"103",2021,3,10,"brasil",6268
"104",2021,3,10,"argentina",6092
"105",2021,3,10,"chile",5419
"106",2021,3,17,"venezuela",15206
"107",2021,3,17,"brasil",13187
"108",2021,3,17,"méxico",9534
"109",2021,3,17,"chile",5897
"110",2021,3,17,"cuba",4620
"111",2021,3,19,"venezuela",16431
"112",2021,3,19,"méxico",9858
"113",2021,3,19,"brasil",8307
"114",2021,3,19,"cuba",5357
"115",2021,3,19,"chile",5167
"116",2021,3,28,"venezuela",44127
"117",2021,3,28,"méxico",17315
"118",2021,3,28,"edoméx",14222
"119",2021,3,28,"caracas",11080
"120",2021,3,28,"brasil",7864
"121",2021,4,1,"venezuela",27531
"122",2021,4,1,"brasil",12683
"123",2021,4,1,"chile",8341
"124",2021,4,1,"francia",7702
"125",2021,4,1,"ixtapaluca",7390
"126",2021,4,4,"venezuela",44210
"127",2021,4,4,"méxico",11716
"128",2021,4,4,"brasil",9187
"129",2021,4,4,"caracas",8173
"130",2021,4,4,"chile",7033
"131",2021,4,8,"venezuela",30923
"132",2021,4,8,"españa",13796
"133",2021,4,8,"brasil",11151
"134",2021,4,8,"méxico",7505
"135",2021,4,8,"cuba",6908
"136",2021,4,10,"venezuela",53451
"137",2021,4,10,"méxico",7348
"138",2021,4,10,"chile",7292
"139",2021,4,10,"españa",7037
"140",2021,4,10,"reino unido",6870
"141",2021,4,15,"méxico",9918
"142",2021,4,15,"venezuela",9780
"143",2021,4,15,"argentina",5853
"144",2021,4,15,"españa",5278
"145",2021,4,15,"brasil",4286
"146",2021,4,16,"venezuela",17478
"147",2021,4,16,"méxico",8329
"148",2021,4,16,"argentina",7191
"149",2021,4,16,"chile",6558
"150",2021,4,16,"brasil",6162
"151",2021,4,17,"venezuela",25505
"152",2021,4,17,"méxico",8210
"153",2021,4,17,"madrid",4655
"154",2021,4,17,"brasil",4579
"155",2021,4,17,"argentina",4127
"156",2021,4,18,"venezuela",21250
"157",2021,4,18,"méxico",7332
"158",2021,4,18,"madrid",6390
"159",2021,4,18,"brasil",6215
"160",2021,4,18,"colombia",5475
"161",2021,4,19,"venezuela",33605
"162",2021,4,19,"madrid",13503
"163",2021,4,19,"mérida",9251
"164",2021,4,19,"brasil",6819
"165",2021,4,19,"méxico",6613
"166",2021,4,21,"venezuela",30314
"167",2021,4,21,"méxico",12606
"168",2021,4,21,"argentina",7535
"169",2021,4,21,"españa",7464
"170",2021,4,21,"madrid",7231
"171",2021,4,26,"venezuela",33422
"172",2021,4,26,"india",19924
"173",2021,4,26,"🇻🇪📢",12602
"174",2021,4,26,"colombia",7063
"175",2021,4,26,"méxico",6291
"176",2021,4,27,"venezuela",18203
"177",2021,4,27,"india",18110
"178",2021,4,27,"🇻🇪📢",11220
"179",2021,4,27,"méxico",8350
"180",2021,4,27,"colombia",7936
"181",2021,5,3,"venezuela",17364
"182",2021,5,3,"🇻🇪📢",14200
"183",2021,5,3,"méxico",10157
"184",2021,5,3,"india",8627
"185",2021,5,3,"miami",5738
"186",2021,5,4,"venezuela",12775
"187",2021,5,4,"india",8162
"188",2021,5,4,"🇻🇪📢",6375
"189",2021,5,4,"madrid",6268
"190",2021,5,4,"méxico",6074
"191",2021,5,5,"venezuela",13629
"192",2021,5,5,"colombia",6903
"193",2021,5,5,"méxico",5480
"194",2021,5,5,"argentina",4469
"195",2021,5,5,"india",4338
"196",2021,5,6,"méxico",7749
"197",2021,5,6,"venezuela",6069
"198",2021,5,6,"colombia",5083
"199",2021,5,6,"argentina",4655
"200",2021,5,6,"india",3834
"201",2021,5,8,"madrid",6368
"202",2021,5,8,"españa",6232
"203",2021,5,8,"venezuela",6040
"204",2021,5,8,"méxico",5268
"205",2021,5,8,"india",3750
"206",2021,5,9,"españa",6395
"207",2021,5,9,"madrid",5282
"208",2021,5,9,"india",4355
"209",2021,5,9,"venezuela",4313
"210",2021,5,9,"méxico",3994
"211",2021,5,13,"españa",7322
"212",2021,5,13,"méxico",4893
"213",2021,5,13,"india",4025
"214",2021,5,13,"venezuela",3685
"215",2021,5,13,"cuba",3090
"216",2021,5,19,"venezuela",10050
"217",2021,5,19,"méxico",9493
"218",2021,5,19,"argentina",6784
"219",2021,5,19,"cuba",4744
"220",2021,5,19,"españa",4678
"221",2021,5,28,"argentina",7205
"222",2021,5,28,"wuhan",6681
"223",2021,5,28,"méxico",5502
"224",2021,5,28,"venezuela",5167
"225",2021,5,28,"españa",4510
"226",2021,5,31,"brasil",10634
"227",2021,5,31,"venezuela",10164
"228",2021,5,31,"argentina",9738
"229",2021,5,31,"wuhan",9660
"230",2021,5,31,"colombia",7314
"231",2021,6,13,"venezuela",6444
"232",2021,6,13,"méxico",4842
"233",2021,6,13,"colombia",4434
"234",2021,6,13,"argentina",3758
"235",2021,6,13,"chile",3649
"236",2021,6,19,"venezuela",4679
"237",2021,6,19,"brasil",4102
"238",2021,6,19,"españa",4052
"239",2021,6,19,"argentina",3541
"240",2021,6,19,"chile",2990
"241",2021,6,24,"chile",7681
"242",2021,6,24,"méxico",6173
"243",2021,6,24,"españa",5389
"244",2021,6,24,"talca",4531
"245",2021,6,24,"cuba",4321
"246",2021,6,30,"cuba",6202
"247",2021,6,30,"méxico",5071
"248",2021,6,30,"venezuela",4130
"249",2021,6,30,"mallorca",4124
"250",2021,6,30,"colombia",3984
"251",2021,7,1,"méxico",8144
"252",2021,7,1,"españa",5500
"253",2021,7,1,"venezuela",4287
"254",2021,7,1,"mallorca",3882
"255",2021,7,1,"cuba",3837
"256",2021,7,2,"cuba",7497
"257",2021,7,2,"méxico",5569
"258",2021,7,2,"españa",4550
"259",2021,7,2,"venezuela",3670
"260",2021,7,2,"venevisión",3470
"261",2021,7,3,"cuba",19978
"262",2021,7,3,"la habana",7771
"263",2021,7,3,"colombia",3273
"264",2021,7,3,"venezuela",3271
"265",2021,7,3,"españa",3216
"266",2021,7,4,"cuba",9987
"267",2021,7,4,"venezuela",3736
"268",2021,7,4,"méxico",3735
"269",2021,7,4,"españa",2723
"270",2021,7,4,"eeuu",2516
"271",2021,7,5,"venezuela",8354
"272",2021,7,5,"méxico",7434
"273",2021,7,5,"cuba",5976
"274",2021,7,5,"israel",4452
"275",2021,7,5,"españa",3521
"276",2021,7,6,"méxico",9520
"277",2021,7,6,"venezuela",7112
"278",2021,7,6,"cuba",6021
"279",2021,7,6,"israel",5318
"280",2021,7,6,"españa",4764
"281",2021,7,7,"méxico",12156
"282",2021,7,7,"cuba",5556
"283",2021,7,7,"venezuela",5247
"284",2021,7,7,"españa",5191
"285",2021,7,7,"madrid",5045
"286",2021,7,8,"méxico",8267
"287",2021,7,8,"españa",6052
"288",2021,7,8,"cuba",5410
"289",2021,7,8,"tokio",4491
"290",2021,7,8,"durango",3486
"291",2021,7,9,"cuba",8321
"292",2021,7,9,"españa",5715
"293",2021,7,9,"méxico",5498
"294",2021,7,9,"carabobo",3035
"295",2021,7,9,"c",2789
"296",2021,7,10,"cuba",16815
"297",2021,7,10,"méxico",6791
"298",2021,7,10,"españa",2841
"299",2021,7,10,"venezuela",2761
"300",2021,7,10,"matanzas",2620
"301",2021,7,13,"cuba",22170
"302",2021,7,13,"méxico",7864
"303",2021,7,13,"venezuela",5317
"304",2021,7,13,"españa",4529
"305",2021,7,13,"argentina",2627
"306",2021,7,16,"méxico",9870
"307",2021,7,16,"cuba",9685
"308",2021,7,16,"españa",5884
"309",2021,7,16,"venezuela",4927
"310",2021,7,16,"argentina",3804
"311",2021,7,19,"méxico",10561
"312",2021,7,19,"cuba",6161
"313",2021,7,19,"españa",5524
"314",2021,7,19,"venezuela",3921
"315",2021,7,19,"china",3194
"316",2021,7,23,"méxico",10858
"317",2021,7,23,"españa",4839
"318",2021,7,23,"cuba",4421
"319",2021,7,23,"argentina",3883
"320",2021,7,23,"venezuela",2959
"321",2021,7,25,"cuba",5735
"322",2021,7,25,"venezuela",4171
"323",2021,7,25,"méxico",3975
"324",2021,7,25,"españa",3499
"325",2021,7,25,"madrid",2635
"326",2021,7,29,"méxico",11299
"327",2021,7,29,"cuba",4645
"328",2021,7,29,"españa",3225
"329",2021,7,29,"china",2951
"330",2021,7,29,"venezuela",2936
"331",2021,8,1,"cuba",7062
"332",2021,8,1,"méxico",5759
"333",2021,8,1,"venezuela",2760
"334",2021,8,1,"españa",2169
"335",2021,8,1,"francia",2018
"336",2021,8,4,"méxico",12107
"337",2021,8,4,"cuba",11561
"338",2021,8,4,"wuhan",6989
"339",2021,8,4,"españa",4644
"340",2021,8,4,"china",3118
"341",2021,8,5,"méxico",11273
"342",2021,8,5,"cuba",8826
"343",2021,8,5,"españa",3748
"344",2021,8,5,"venezuela",3141
"345",2021,8,5,"argentina",2336
"346",2021,8,6,"méxico",12381
"347",2021,8,6,"cuba",4621
"348",2021,8,6,"españa",3781
"349",2021,8,6,"venezuela",3303
"350",2021,8,6,"galicia",2774
"351",2021,8,8,"méxico",7573
"352",2021,8,8,"gipuzkoa",5872
"353",2021,8,8,"azpetia",5868
"354",2021,8,8,"cuba",4822
"355",2021,8,8,"españa",2395
"356",2021,8,9,"méxico",5529
"357",2021,8,9,"cuba",5017
"358",2021,8,9,"españa",3645
"359",2021,8,9,"covid",3002
"360",2021,8,9,"argentina",2850
"361",2021,8,11,"méxico",8325
"362",2021,8,11,"cuba",6027
"363",2021,8,11,"españa",3710
"364",2021,8,11,"venezuela",3006
"365",2021,8,11,"marbella",2612
"366",2021,8,12,"méxico",12408
"367",2021,8,12,"venezuela",5966
"368",2021,8,12,"cuba",4851
"369",2021,8,12,"españa",4140
"370",2021,8,12,"eeuu",2668
"371",2021,8,13,"venezuela",22512
"372",2021,8,13,"méxico",14038
"373",2021,8,13,"españa",7225
"374",2021,8,13,"cuba",6871
"375",2021,8,13,"bolívar",3654
"376",2021,8,14,"méxico",8945
"377",2021,8,14,"zócalo",4219
"378",2021,8,14,"españa",3986
"379",2021,8,14,"venezuela",3945
"380",2021,8,14,"cuba",3648
"381",2021,8,16,"afganistán",8395
"382",2021,8,16,"méxico",7235
"383",2021,8,16,"cuba",5908
"384",2021,8,16,"venezuela",4370
"385",2021,8,16,"argentina",3377
"386",2021,8,17,"méxico",10069
"387",2021,8,17,"cuba",6019
"388",2021,8,17,"afganistán",4528
"389",2021,8,17,"nueva zelanda",4484
"390",2021,8,17,"covid",4044
"391",2021,8,19,"méxico",12129
"392",2021,8,19,"cuba",3144
"393",2021,8,19,"venezuela",3064
"394",2021,8,19,"españa",2600
"395",2021,8,19,"argentina",1955
"396",2021,8,23,"méxico",4615
"397",2021,8,23,"cuba",3355
"398",2021,8,23,"venezuela",3062
"399",2021,8,23,"argentina",2846
"400",2021,8,23,"eeuu",2551
"401",2021,8,29,"peru",4553
"402",2021,8,29,"cuba",4454
"403",2021,8,29,"méxico",4361
"404",2021,8,29,"venezuela",2656
"405",2021,8,29,"argentina",2576
"406",2021,8,30,"venezuela",5042
"407",2021,8,30,"peru",3870
"408",2021,8,30,"eeuu",3609
"409",2021,8,30,"méxico",3541
"410",2021,8,30,"cuba",3507
"411",2021,9,2,"méxico",8019
"412",2021,9,2,"cuba",4906
"413",2021,9,2,"venezuela",3545
"414",2021,9,2,"españa",2812
"415",2021,9,2,"estados unidos",2241
"416",2021,9,7,"cuba",9202
"417",2021,9,7,"méxico",5923
"418",2021,9,7,"venezuela",4872
"419",2021,9,7,"honduras",3154
"420",2021,9,7,"barranquilla",3152
"421",2021,9,14,"méxico",6120
"422",2021,9,14,"cuba",5341
"423",2021,9,14,"venezuela",3199
"424",2021,9,14,"chile",2501
"425",2021,9,14,"españa",2440
"426",2021,9,19,"méxico",4326
"427",2021,9,19,"españa",3704
"428",2021,9,19,"venezuela",3570
"429",2021,9,19,"cuba",2356
"430",2021,9,19,"australia",2239
"431",2021,9,20,"méxico",518
"432",2021,9,20,"venezuela",376
"433",2021,9,20,"barranquilla",297
"434",2021,9,20,"argentina",201
"435",2021,9,20,"nicaragua",173
"436",2021,9,25,"cuba",3809
"437",2021,9,25,"venezuela",2923
"438",2021,9,25,"méxico",2908
"439",2021,9,25,"españa",1430
"440",2021,9,25,"palacio pereira",1406
"441",2021,9,26,"méxico",5745
"442",2021,9,26,"venezuela",5000
"443",2021,9,26,"cuba",3001
"444",2021,9,26,"paraguay",2926
"445",2021,9,26,"eeuu",2089
"446",2021,10,1,"venezuela",1595
"447",2021,10,1,"españa",1430
"448",2021,10,1,"méxico",1119
"449",2021,10,1,"cuba",862
"450",2021,10,1,"argentina",813
"451",2021,10,3,"méxico",2027
"452",2021,10,3,"venezuela",1902
"453",2021,10,3,"argentina",1537
"454",2021,10,3,"caracas",927
"455",2021,10,3,"belice",875
"456",2021,10,6,"venezuela",2641
"457",2021,10,6,"méxico",2384
"458",2021,10,6,"españa",1894
"459",2021,10,6,"caracas",1700
"460",2021,10,6,"cuba",1233
"461",2021,10,13,"cuba",4747
"462",2021,10,13,"venezuela",4406
"463",2021,10,13,"méxico",3916
"464",2021,10,13,"argentina",2007
"465",2021,10,13,"españa",2007
"466",2021,10,16,"méxico",3403
"467",2021,10,16,"venezuela",2860
"468",2021,10,16,"cuba",2327
"469",2021,10,16,"rusia",1954
"470",2021,10,16,"argentina",1220
"471",2021,10,17,"méxico",3718
"472",2021,10,17,"venezuela",2934
"473",2021,10,17,"plaza de mayo",2795
"474",2021,10,17,"cuba",1799
"475",2021,10,17,"peru",1737
"476",2021,10,20,"méxico",3583
"477",2021,10,20,"venezuela",3436
"478",2021,10,20,"rusia",2442
"479",2021,10,20,"cuba",2024
"480",2021,10,20,"reino unido",1725
"481",2021,10,23,"méxico",3056
"482",2021,10,23,"venezuela",2941
"483",2021,10,23,"cuba",2249
"484",2021,10,23,"españa",1764
"485",2021,10,23,"chubut",1614
"486",2021,10,24,"venezuela",3976
"487",2021,10,24,"méxico",3342
"488",2021,10,24,"brasil",1901
"489",2021,10,24,"cuba",1698
"490",2021,10,24,"españa",1568
"491",2021,10,29,"méxico",6318
"492",2021,10,29,"eeuu",3428
"493",2021,10,29,"venezuela",3279
"494",2021,10,29,"españa",2924
"495",2021,10,29,"cuba",2900
"496",2021,10,30,"méxico",5472
"497",2021,10,30,"españa",3593
"498",2021,10,30,"venezuela",2240
"499",2021,10,30,"cuba",2143
"500",2021,10,30,"eeuu",1729
"501",2021,11,2,"méxico",2794
"502",2021,11,2,"venezuela",2442
"503",2021,11,2,"argentina",1782
"504",2021,11,2,"cuba",1513
"505",2021,11,2,"españa",1267
"506",2021,11,13,"cuba",8214
"507",2021,11,13,"venezuela",3829
"508",2021,11,13,"europa",3704
"509",2021,11,13,"españa",2810
"510",2021,11,13,"alemania",2727
"511",2021,11,14,"cuba",9562
"512",2021,11,14,"venezuela",3157
"513",2021,11,14,"españa",2558
"514",2021,11,14,"europa",2426
"515",2021,11,14,"austria",2110
"516",2021,11,18,"méxico",4872
"517",2021,11,18,"alemania",4408
"518",2021,11,18,"españa",3101
"519",2021,11,18,"europa",2593
"520",2021,11,18,"wuhan",2591
"521",2021,11,19,"austria",8849
"522",2021,11,19,"europa",5212
"523",2021,11,19,"alemania",4194
"524",2021,11,19,"españa",3799
"525",2021,11,19,"méxico",3223
"526",2021,11,20,"eur",0
"527",2022,11,11,"venezuela",3357
"528",2022,11,11,"shibuya",2512
"529",2022,11,11,"españa",1830
"530",2022,11,11,"covid",1083
"531",2022,11,11,"argentina",1060
"532",2022,11,15,"venezuela",2369
"533",2022,11,15,"españa",2127
"534",2022,11,15,"china",1025
"535",2022,11,15,"guangzhou",1014
"536",2022,11,15,"c-la mancha",613
"537",2022,11,26,"china",3832
"538",2022,11,26,"🇨🇳",1299
"539",2022,11,26,"venezuela",1066
"540",2022,11,26,"delta amacuro",664
"541",2022,11,26,"españa",549
"542",2022,12,23,"venezuela",1391
"543",2022,12,23,"china",1381
"544",2022,12,23,"leonardo ruiz pineda",1080
"545",2022,12,23,"delta amacuro",932
"546",2022,12,23,"méxico",620
"547",2022,12,24,"china",2190
"548",2022,12,24,"venezuela",726
"549",2022,12,24,"méxico",396
"550",2022,12,24,"delta amacuro",381
"551",2022,12,24,"españa",317
"552",2022,12,26,"china",1545
"553",2022,12,26,"eeuu",607
"554",2022,12,26,"haití",539
"555",2022,12,26,"venezuela",526
"556",2022,12,26,"españa",339
"557",2022,12,29,"china",6314
"558",2022,12,29,"wuhan",1852
"559",2022,12,29,"venezuela",978
"560",2022,12,29,"italia",773
"561",2022,12,29,"españa",716
"562",2022,12,30,"china",5491
"563",2022,12,30,"delta amacuro",2823
"564",2022,12,30,"wuhan",1251
"565",2022,12,30,"españa",1085
"566",2022,12,30,"japón",778
"567",2022,12,31,"china",2666
"568",2022,12,31,"delta amacuro",1075
"569",2022,12,31,"méxico",763
"570",2022,12,31,"españa",721
"571",2022,12,31,"japón",683
