"","Year","Month","Day","Text","Count"
"1","2020",2,29,"imss",1811
"2","2020",2,29,"noestoyperdon",1714
"3","2020",2,29,"china",1679
"4","2020",2,29,"oms",1546
"5","2020",2,29,"chaira",1098
"6","2020",4,22,"gobierno",9444
"7","2020",4,22,"oms",7319
"8","2020",4,22,"ginesggarcia",6608
"9","2020",4,22,"anlis",6140
"10","2020",4,22,"imss",5047
"11","2020",6,9,"oms",20054
"12","2020",6,9,"gobierno",11468
"13","2020",6,9,"ricarospina",8254
"14","2020",6,9,"españa",4084
"15","2020",6,9,"hlgatell",3927
"16","2020",7,17,"covid",6248
"17","2020",7,17,"gobierno",5067
"18","2020",7,17,"estado",4965
"19","2020",7,17,"sinescritoss",3780
"20","2020",7,17,"adidas",3504
"21","2020",8,28,"covid",6740
"22","2020",8,28,"mippcivzla",6112
"23","2020",8,28,"gobierno",5678
"24","2020",8,28,"gnb",5426
"25","2020",8,28,"oms",3567
"26","2020",9,15,"mippcivzla",10050
"27","2020",9,15,"gobierno",7842
"28","2020",9,15,"fiscalía",7287
"29","2020",9,15,"covid",6310
"30","2020",9,15,"hlgatell",5495
"31","2020",9,18,"gobierno",13149
"32","2020",9,18,"covid",6948
"33","2020",9,18,"gnb",4363
"34","2020",9,18,"oms",4208
"35","2020",9,18,"mippcivzla",3661
"36","2020",9,24,"onu",6797
"37","2020",9,24,"venezuela",6323
"38","2020",9,24,"covid",6106
"39","2020",9,24,"mippcivzla",5787
"40","2020",9,24,"gobierno",5547
"41","2020",9,27,"gobierno",15908
"42","2020",9,27,"anvac",14618
"43","2020",9,27,"mippcivzla",10117
"44","2020",9,27,"asociación nacional de víctimas y afectados por coronavirus",9132
"45","2020",9,27,"alvisepf",8773
"46","2020",11,12,"mippcivzla",6537
"47","2020",11,12,"pfizer",5127
"48","2020",11,12,"gobierno",4476
"49","2020",11,12,"gnb",3433
"50","2020",11,12,"covid",3340
"51","2020",11,22,"mippcivzla",9088
"52","2020",11,22,"covid",3809
"53","2020",11,22,"gobierno",3011
"54","2020",11,22,"vtvcanal8",2857
"55","2020",11,22,"envivo",2675
"56","2020",12,29,"mippcivzla",19900
"57","2020",12,29,"gobierno",8673
"58","2020",12,29,"covid",4670
"59","2020",12,29,"venezuela",4655
"60","2020",12,29,"conelmazodando",4605
"61","2021",1,22,"auronplay",37231
"62","2021",1,22,"covid",19818
"63","2021",1,22,"mippcivzla",18587
"64","2021",1,22,"sci",9702
"65","2021",1,22,"vtvcanal8",8478
"66","2021",1,23,"mippcivzla",22873
"67","2021",1,23,"auronplay",15466
"68","2021",1,23,"covid",10115
"69","2021",1,23,"vtvcanal8",10089
"70","2021",1,23,"uci",7381
"71","2021",1,24,"mippcivzla",25478
"72","2021",1,24,"vtvcanal8",20809
"73","2021",1,24,"eps",10340
"74","2021",1,24,"covid",7803
"75","2021",1,24,"uci",7331
"76","2021",1,26,"mippcivzla",19501
"77","2021",1,26,"vtvcanal8",13075
"78","2021",1,26,"covid",11592
"79","2021",1,26,"gobierno",10493
"80","2021",1,26,"gfc",8144
"81","2021",1,27,"vtvcanal8",20482
"82","2021",1,27,"mippcivzla",12696
"83","2021",1,27,"covid",9430
"84","2021",1,27,"gobierno",9008
"85","2021",1,27,"hlgatell",7683
"86","2021",1,29,"mippcivzla",23080
"87","2021",1,29,"gnb",11292
"88","2021",1,29,"vtvcanal8",11104
"89","2021",1,29,"hlgatell",7884
"90","2021",1,29,"estados unidos",6761
"91","2021",2,4,"mippcivzla",16741
"92","2021",2,4,"vtvcanal8",14195
"93","2021",2,4,"oms",8417
"94","2021",2,4,"covid",5737
"95","2021",2,4,"rayfibiris",5139
"96","2021",2,5,"mippcivzla",23813
"97","2021",2,5,"vtvcanal8",9021
"98","2021",2,5,"covid",8470
"99","2021",2,5,"oms",7433
"100","2021",2,5,"unióndelospueblos",5539
"101","2021",2,9,"oms",27730
"102","2021",2,9,"mippcivzla",22131
"103","2021",2,9,"vtvcanal8",8564
"104","2021",2,9,"conelmazodando",6438
"105","2021",2,9,"corona",6166
"106","2021",2,21,"mippcivzla",14339
"107","2021",2,21,"julifaita",14051
"108","2021",2,21,"venezuela",12319
"109","2021",2,21,"hlgatell",10633
"110","2021",2,21,"vtvcanal8",8862
"111","2021",3,3,"mippcivzla",10796
"112","2021",3,3,"gobierno",5900
"113","2021",3,3,"facurdrgz",4809
"114","2021",3,3,"covid",4416
"115","2021",3,3,"vtvcanal8",3509
"116","2021",3,4,"mippcivzla",20874
"117","2021",3,4,"vtvcanal8",7010
"118","2021",3,4,"oms",6515
"119","2021",3,4,"carnetdlapatria",5857
"120","2021",3,4,"canalconciencia",3820
"121","2021",3,5,"mippcivzla",18285
"122","2021",3,5,"gobierno",5208
"123","2021",3,5,"oms",3865
"124","2021",3,5,"vtvcanal8",3408
"125","2021",3,5,"hospital fernández",3394
"126","2021",3,7,"mippcivzla",22519
"127","2021",3,7,"vitadefresa",8699
"128","2021",3,7,"vtvcanal8",6005
"129","2021",3,7,"covid",4579
"130","2021",3,7,"carnetdlapatria",3729
"131","2021",3,10,"mippcivzla",7234
"132","2021",3,10,"vtvcanal8",6321
"133","2021",3,10,"covid",4093
"134","2021",3,10,"gobierno",3929
"135","2021",3,10,"gnb",3624
"136","2021",3,17,"mippcivzla",29867
"137","2021",3,17,"vtvcanal8",16125
"138","2021",3,17,"gnb",8208
"139","2021",3,17,"minsaludve",7546
"140","2021",3,17,"covid",6761
"141","2021",3,19,"mippcivzla",18634
"142","2021",3,19,"vtvcanal8",9889
"143","2021",3,19,"astrazeneca",7229
"144","2021",3,19,"minsaludve",5571
"145","2021",3,19,"gobierno",4969
"146","2021",3,25,"vtvcanal8",32666
"147","2021",3,25,"mippcivzla",30970
"148","2021",3,25,"gobierno",12139
"149","2021",3,25,"covid",7252
"150","2021",3,25,"astrazeneca",7189
"151","2021",3,28,"mippcivzla",33313
"152","2021",3,28,"vtvcanal8",20457
"153","2021",3,28,"gobiernomx",14423
"154","2021",3,28,"oms",10508
"155","2021",3,28,"pdte",7649
"156","2021",4,1,"unidosenprevención",40729
"157","2021",4,1,"mippcivzla",30399
"158","2021",4,1,"vtvcanal8",29932
"159","2021",4,1,"oms",13525
"160","2021",4,1,"covid",9008
"161","2021",4,4,"mippcivzla",36462
"162","2021",4,4,"vtvcanal8",33575
"163","2021",4,4,"luchaalmada",13142
"164","2021",4,4,"the guardian",12402
"165","2021",4,4,"conelmazodando",8244
"166","2021",4,8,"mippcivzla",35873
"167","2021",4,8,"vtvcanal8",26107
"168","2021",4,8,"covid",10686
"169","2021",4,8,"astrazeneca",10456
"170","2021",4,8,"venezuela",8632
"171","2021",4,9,"vtvcanal8",37146
"172","2021",4,9,"mippcivzla",31634
"173","2021",4,9,"covid",21222
"174","2021",4,9,"venezuela",21102
"175","2021",4,9,"cuba",20408
"176","2021",4,10,"mippcivzla",40327
"177","2021",4,10,"vtvcanal8",24642
"178","2021",4,10,"venezuela",16850
"179","2021",4,10,"covid",10486
"180","2021",4,10,"carnetdlapatria",8308
"181","2021",4,12,"mippcivzla",17574
"182","2021",4,12,"vtvcanal8",10160
"183","2021",4,12,"carnetdlapatria",7419
"184","2021",4,12,"oms",5718
"185","2021",4,12,"covid",4516
"186","2021",4,15,"covid",11902
"187","2021",4,15,"mippcivzla",10412
"188","2021",4,15,"vtvcanal8",6908
"189","2021",4,15,"pfizer",5369
"190","2021",4,15,"gobierno",4600
"191","2021",4,17,"mippcivzla",43510
"192","2021",4,17,"vtvcanal8",17271
"193","2021",4,17,"covid",11089
"194","2021",4,17,"venezuela",10797
"195","2021",4,17,"gobierno",8392
"196","2021",4,18,"mippcivzla",48495
"197","2021",4,18,"vtvcanal8",16487
"198","2021",4,18,"covid",11285
"199","2021",4,18,"venezuela",8723
"200","2021",4,18,"gobierno",7239
"201","2021",4,19,"mippcivzla",40604
"202","2021",4,19,"vtvcanal8",36054
"203","2021",4,19,"covid",10627
"204","2021",4,19,"conelmazodando",8197
"205","2021",4,19,"venezuela",5660
"206","2021",4,21,"mippcivzla",31098
"207","2021",4,21,"vtvcanal8",27118
"208","2021",4,21,"covid",9993
"209","2021",4,21,"danialmond",7567
"210","2021",4,21,"conelmazodando",7471
"211","2021",4,25,"mippcivzla",36327
"212","2021",4,25,"vtvcanal8",13384
"213","2021",4,25,"covid",5884
"214","2021",4,25,"conelmazodando",4251
"215","2021",4,25,"venezuela",3878
"216","2021",4,27,"mippcivzla",36005
"217","2021",4,27,"abrazalavida",16346
"218","2021",4,27,"vtvcanal8",11178
"219","2021",4,27,"conelmazodando",7100
"220","2021",4,27,"gobierno bolivariano",7019
"221","2021",4,29,"mippcivzla",23382
"222","2021",4,29,"covid",8018
"223","2021",4,29,"psoe",7424
"224","2021",4,29,"vox",7317
"225","2021",4,29,"pp",7131
"226","2021",5,3,"mippcivzla",16099
"227","2021",5,3,"vtvcanal8",12244
"228","2021",5,3,"covid",6260
"229","2021",5,3,"oms",4350
"230","2021",5,3,"conelmazodando",3982
"231","2021",5,4,"mippcivzla",22855
"232","2021",5,4,"vtvcanal8",12484
"233","2021",5,4,"covid",8273
"234","2021",5,4,"canalconciencia",5709
"235","2021",5,4,"pp",5433
"236","2021",5,6,"mianrey",10520
"237","2021",5,6,"eeuu",8337
"238","2021",5,6,"mippcivzla",7049
"239","2021",5,6,"psoe",4436
"240","2021",5,6,"pfizer",4084
"241","2021",5,9,"covid",9395
"242","2021",5,9,"lavecinarubia",7030
"243","2021",5,9,"arouet",3717
"244","2021",5,9,"mippcivzla",3531
"245","2021",5,9,"el_universal",2202
"246","2021",5,12,"oms",6163
"247","2021",5,12,"covid",4384
"248","2021",5,12,"mippcivzla",4180
"249","2021",5,12,"pfizer",4138
"250","2021",5,12,"mianrey",4006
"251","2021",5,13,"gobierno",5205
"252","2021",5,13,"hlgatell",4428
"253","2021",5,13,"comunicacionsv",4024
"254","2021",5,13,"cdc",3968
"255","2021",5,13,"pfizer",3599
"256","2021",5,16,"river",23488
"257","2021",5,16,"boca",15084
"258","2021",5,16,"covid",4855
"259","2021",5,16,"invictossomos",4255
"260","2021",5,16,"uci",2687
"261","2021",5,19,"chauoperetak",7392
"262","2021",5,19,"showmatch",7322
"263","2021",5,19,"cubacoopera",6263
"264","2021",5,19,"covid",3967
"265","2021",5,19,"gobierno",3564
"266","2021",5,28,"pfizer",5507
"267","2021",5,28,"covid",4069
"268","2021",5,28,"theeconomist",3884
"269","2021",5,28,"ema",3220
"270","2021",5,28,"gobierno",2950
"271","2021",5,31,"cruz azul",8419
"272","2021",5,31,"conmebol",7319
"273","2021",5,31,"colmedchile",6677
"274","2021",5,31,"gobierno",5824
"275","2021",5,31,"covid",4897
"276","2021",6,13,"covid",4477
"277","2021",6,13,"venezuela",4087
"278","2021",6,13,"bts",3159
"279","2021",6,13,"pfizer",2872
"280","2021",6,13,"g7",2829
"281","2021",6,15,"covid",5260
"282","2021",6,15,"astrazeneca",4420
"283","2021",6,15,"pp",2865
