"","Year","Month","Text","Count"
"1",2020,2,"méxico",14175
"2",2020,2,"ecuador",5847
"3",2020,2,"china",4832
"4",2020,2,"españa",2695
"5",2020,2,"italia",2329
"6",2020,4,"argentina",9200
"7",2020,4,"españa",6532
"8",2020,4,"méxico",6114
"9",2020,4,"venezuela",5855
"10",2020,4,"wuhan",3876
"11",2020,8,"españa",13195
"12",2020,8,"venezuela",12461
"13",2020,8,"méxico",7422
"14",2020,8,"sevilla",6733
"15",2020,8,"argentina",6404
"16",2020,9,"madrid",89288
"17",2020,9,"españa",46954
"18",2020,9,"venezuela",42687
"19",2020,9,"argentina",19979
"20",2020,9,"méxico",17858
"21",2020,11,"venezuela",6768
"22",2020,11,"méxico",4968
"23",2020,11,"españa",4506
"24",2020,11,"argentina",2929
"25",2020,11,"eeuu",2305
"26",2020,12,"chile",17785
"27",2020,12,"venezuela",13779
"28",2020,12,"méxico",9260
"29",2020,12,"madrid",8564
"30",2020,12,"españa",6443
"31",2021,1,"méxico",121655
"32",2021,1,"venezuela",95080
"33",2021,1,"españa",60511
"34",2021,1,"colombia",59729
"35",2021,1,"cuba",16530
"36",2021,2,"venezuela",59681
"37",2021,2,"méxico",54940
"38",2021,2,"wuhan",20964
"39",2021,2,"españa",20202
"40",2021,2,"colombia",10418
"41",2021,3,"venezuela",140741
"42",2021,3,"méxico",63734
"43",2021,3,"brasil",54374
"44",2021,3,"chile",21457
"45",2021,3,"cuba",16449
"46",2021,4,"venezuela",345672
"47",2021,4,"méxico",94218
"48",2021,4,"brasil",61082
"49",2021,4,"india",38034
"50",2021,4,"españa",33575
"51",2021,5,"venezuela",89256
"52",2021,5,"méxico",58610
"53",2021,5,"india",37091
"54",2021,5,"argentina",32851
"55",2021,5,"españa",29137
"56",2021,6,"méxico",16086
"57",2021,6,"venezuela",15253
"58",2021,6,"chile",14320
"59",2021,6,"cuba",10523
"60",2021,6,"españa",9441
"61",2021,7,"cuba",142215
"62",2021,7,"méxico",121541
"63",2021,7,"españa",71573
"64",2021,7,"venezuela",62669
"65",2021,7,"argentina",10314
"66",2021,8,"méxico",140288
"67",2021,8,"cuba",89693
"68",2021,8,"venezuela",62827
"69",2021,8,"españa",42043
"70",2021,8,"argentina",15940
"71",2021,9,"méxico",33559
"72",2021,9,"cuba",28615
"73",2021,9,"venezuela",23485
"74",2021,9,"españa",10386
"75",2021,9,"barranquilla",3449
"76",2021,10,"méxico",38338
"77",2021,10,"venezuela",32210
"78",2021,10,"cuba",21982
"79",2021,10,"españa",15180
"80",2021,10,"argentina",5577
"81",2021,11,"europa",36751
"82",2021,11,"méxico",33763
"83",2021,11,"españa",27190
"84",2021,11,"cuba",26305
"85",2021,11,"sudáfrica",20923
"86",2021,12,"españa",119078
"87",2021,12,"méxico",86927
"88",2021,12,"cuba",35831
"89",2021,12,"madrid",27611
"90",2021,12,"venezuela",27507
"91",2022,1,"méxico",221246
"92",2022,1,"españa",99612
"93",2022,1,"venezuela",67547
"94",2022,1,"argentina",48675
"95",2022,1,"genovia",30015
"96",2022,2,"méxico",79213
"97",2022,2,"españa",57173
"98",2022,2,"venezuela",31048
"99",2022,2,"cuba",30140
"100",2022,2,"madrid",8470
"101",2022,5,"españa",36418
"102",2022,5,"cuba",32083
"103",2022,5,"venezuela",27721
"104",2022,5,"méxico",21467
"105",2022,5,"corea del norte",9387
"106",2022,6,"méxico",56397
"107",2022,6,"venezuela",48771
"108",2022,6,"españa",39095
"109",2022,6,"cuba",13686
"110",2022,6,"puebla",8751
"111",2022,7,"venezuela",17163
"112",2022,7,"españa",12982
"113",2022,7,"méxico",6204
"114",2022,7,"ucrania",2827
"115",2022,7,"dinamarca",2435
"116",2022,8,"venezuela",17835
"117",2022,8,"españa",14228
"118",2022,8,"delta",6696
"119",2022,8,"china",4913
"120",2022,8,"delta amacuro",4865
"121",2022,9,"venezuela",59189
"122",2022,9,"españa",30466
"123",2022,9,"méxico",17070
"124",2022,9,"🇻🇪",15620
"125",2022,9,"gibraltar",6014
"126",2022,10,"venezuela",48793
"127",2022,10,"españa",27062
"128",2022,10,"xishuangbanna",8127
"129",2022,10,"c-la mancha",7924
"130",2022,10,"🇨🇳",7493
"131",2022,11,"venezuela",29338
"132",2022,11,"china",24795
"133",2022,11,"españa",19021
"134",2022,11,"🇨🇳",6442
"135",2022,11,"delta amacuro",6229
"136",2022,12,"china",16446
"137",2022,12,"delta amacuro",5211
"138",2022,12,"venezuela",2955
"139",2022,12,"españa",2897
"140",2022,12,"méxico",2073
