"","Year","Month","Text","Count"
"1",2020,2,"coronavirus",42888
"2",2020,2,"covid-19",6660
"3",2020,2,"covid19",3947
"4",2020,2,"ibuprofeno",3137
"5",2020,2,"mobile world congress",2576
"6",2020,4,"covid-19",63272
"7",2020,4,"covid",22514
"8",2020,4,"coronavirus",21717
"9",2020,4,"covid19",18207
"10",2020,4,"sars-cov-2",7954
"11",2020,6,"covid-19",93127
"12",2020,6,"covid19",53114
"13",2020,6,"covid",27161
"14",2020,6,"coronavirus",25717
"15",2020,6,"sabiasqueeeee",6025
"16",2020,8,"covid-19",88951
"17",2020,8,"covid19",45386
"18",2020,8,"covid",33230
"19",2020,8,"coronavirus",18155
"20",2020,8,"covidー19",6635
"21",2020,9,"covid-19",266043
"22",2020,9,"covid19",159676
"23",2020,9,"covid",142638
"24",2020,9,"coronavirus",69033
"25",2020,9,"vamosvenciendoalcovid19",21704
"26",2020,10,"covid-19",57779
"27",2020,10,"covid19",35770
"28",2020,10,"covid",30051
"29",2020,10,"coronavirus",13657
"30",2020,10,"champions",3075
"31",2020,11,"covid-19",96357
"32",2020,11,"covid",57455
"33",2020,11,"covid19",51489
"34",2020,11,"ganemoslabatallaalcovid19",26612
"35",2020,11,"coronavirus",18910
"36",2020,12,"covid-19",84869
"37",2020,12,"covid",50626
"38",2020,12,"covid19",39800
"39",2020,12,"coronavirus",18733
"40",2020,12,"notimippci",5389
"41",2021,1,"covid-19",665863
"42",2021,1,"covid",420784
"43",2021,1,"covid19",334464
"44",2021,1,"coronavirus",124575
"45",2021,1,"protégetedelcovid19",18508
"46",2021,2,"covid-19",451729
"47",2021,2,"covid",243971
"48",2021,2,"covid19",238164
"49",2021,2,"coronavirus",88436
"50",2021,2,"bienestarparaelpueblo",26985
"51",2021,3,"covid-19",740497
"52",2021,3,"covid19",472376
"53",2021,3,"covid",423083
"54",2021,3,"coronavirus",123955
"55",2021,3,"cuidémonosenfamilia",63792
"56",2021,4,"covid-19",1738829
"57",2021,4,"covid",899302
"58",2021,4,"covid19",749080
"59",2021,4,"coronavirus",197518
"60",2021,4,"daleunparaoalacovid",78667
"61",2021,5,"covid-19",621398
"62",2021,5,"covid",469826
"63",2021,5,"covid19",364231
"64",2021,5,"coronavirus",80893
"65",2021,5,"radicalescontralacovid",56156
"66",2021,6,"covid-19",350411
"67",2021,6,"covid",331835
"68",2021,6,"covid19",238265
"69",2021,6,"coronavirus",42001
"70",2021,6,"delta",33042
"71",2021,7,"covid-19",926324
"72",2021,7,"covid",826992
"73",2021,7,"covid19",690309
"74",2021,7,"coronavirus",116658
"75",2021,7,"delta",83498
"76",2021,8,"covid-19",854059
"77",2021,8,"covid",811591
"78",2021,8,"covid19",667218
"79",2021,8,"coronavirus",80282
"80",2021,8,"delta",49611
"81",2021,9,"covid-19",347712
"82",2021,9,"covid",300068
"83",2021,9,"covid19",266292
"84",2021,9,"coronavirus",35637
"85",2021,9,"laclaveesvacunarse",12505
"86",2021,10,"covid-19",385913
"87",2021,10,"covid",293051
"88",2021,10,"covid19",231181
"89",2021,10,"coronavirus",42524
"90",2021,10,"vacunarsedependedeti",10040
"91",2021,11,"covid-19",368451
"92",2021,11,"covid",357998
"93",2021,11,"covid19",281868
"94",2021,11,"omicron",66366
"95",2021,11,"coronavirus",42763
"96",2021,12,"covid",896532
"97",2021,12,"covid-19",560411
"98",2021,12,"covid19",410159
"99",2021,12,"omicron",199449
"100",2021,12,"ómicron",95869
"101",2022,1,"covid",1562550
"102",2022,1,"covid-19",987166
"103",2022,1,"covid19",675888
"104",2022,1,"omicron",175750
"105",2022,1,"protocolo",91795
"106",2022,2,"covid",500342
"107",2022,2,"covid-19",462918
"108",2022,2,"covid19",335914
"109",2022,2,"protocolo",126691
"110",2022,2,"vih",14289
"111",2022,3,"covid-19",355571
"112",2022,3,"covid",294476
"113",2022,3,"covid19",205559
"114",2022,3,"protocolo",118258
"115",2022,3,"coronavirus",11786
"116",2022,4,"covid-19",168717
"117",2022,4,"covid",161062
"118",2022,4,"covid19",129389
"119",2022,4,"protocolo",73447
"120",2022,4,"covid 19",4521
"121",2022,5,"covid",243395
"122",2022,5,"covid-19",202231
"123",2022,5,"covid19",136652
"124",2022,5,"protocolo",109089
"125",2022,5,"colaboración cubana",5184
"126",2022,6,"covid",275332
"127",2022,6,"covid-19",225839
"128",2022,6,"covid19",188549
"129",2022,6,"protocolo",114445
"130",2022,6,"refuerzatuvacuna",10713
"131",2022,7,"covid",71268
"132",2022,7,"covid-19",57217
"133",2022,7,"protocolo",22911
"134",2022,7,"covid19",11036
"135",2022,7,"coronavirus",5334
"136",2022,8,"covid-19",43111
"137",2022,8,"covid",27031
"138",2022,8,"protocolo",20488
"139",2022,8,"covid19",4129
"140",2022,8,"among us",3998
"141",2022,9,"covid-19",147831
"142",2022,9,"covid19",104822
"143",2022,9,"covid",103874
"144",2022,9,"protocolo",76294
"145",2022,9,"cuídateyrefuerzatuvacuna",42457
"146",2022,10,"covid",103891
"147",2022,10,"covid-19",97109
"148",2022,10,"protocolo",69657
"149",2022,10,"covid19",48337
"150",2022,10,"inamehinforma",2459
"151",2022,11,"covid",89535
"152",2022,11,"covid-19",81411
"153",2022,11,"protocolo",60938
"154",2022,11,"covid19",44142
"155",2022,11,"vih",4033
"156",2022,12,"covid",25887
"157",2022,12,"covid-19",23553
"158",2022,12,"protocolo",7785
"159",2022,12,"amorypazenfamilia",3587
"160",2022,12,"abdalá",2019
