"","Year","Month","Text","Count"
"1",2020,2,"eileenornot",2236
"2",2020,2,"rené",1630
"3",2020,2,"manuragaini",1595
"4",2020,2,"lopezobrador",1446
"5",2020,2,"cirogomezl",884
"6",2020,4,"alfredodelmazo",8677
"7",2020,4,"malbran",6050
"8",2020,4,"bill gates",4102
"9",2020,4,"pablo casado",3948
"10",2020,4,"casado",3523
"11",2020,6,"josé julián buelvas",9002
"12",2020,6,"covid",6679
"13",2020,6,"fernando simón",4602
"14",2020,6,"uliisesgonzalez",3842
"15",2020,6,"lopezobrador",3400
"16",2020,8,"covid",9647
"17",2020,8,"maribelskies",6091
"18",2020,8,"soyalbertosamid",5381
"19",2020,8,"goldfarb",5366
"20",2020,8,"baby etchecopar",4329
"21",2020,9,"covid",36049
"22",2020,9,"nicolasmaduro",26718
"23",2020,9,"ayuso",9494
"24",2020,9,"covid19",7915
"25",2020,9,"agusdiazdsa",7462
"26",2020,10,"candemoran123",9690
"27",2020,10,"covid",8490
"28",2020,10,"ibaillanos",2905
"29",2020,10,"trump",2890
"30",2020,10,"abascal",2590
"31",2021,1,"covid",165020
"32",2021,1,"nicolasmaduro",73467
"33",2021,1,"lopezobrador",38264
"34",2021,1,"amlo",29529
"35",2021,1,"biden",25890
"36",2021,2,"covid",51029
"37",2021,2,"nicolasmaduro",28919
"38",2021,2,"lopezobrador",26619
"39",2021,2,"mippcivzla",25033
"40",2021,2,"amlo",17298
"41",2021,3,"nicolasmaduro",122280
"42",2021,3,"covid",95223
"43",2021,3,"mippcivzla",66718
"44",2021,3,"dave capella",20632
"45",2021,3,"vickydobra",18741
"46",2021,4,"covid",246726
"47",2021,4,"nicolasmaduro",240410
"48",2021,4,"mippcivzla",201587
"49",2021,4,"ambarservin98",22757
"50",2021,4,"alicia53532006",18924
"51",2021,5,"covid",123113
"52",2021,5,"nicolasmaduro",47255
"53",2021,5,"mippcivzla",32260
"54",2021,5,"carles francino",10877
"55",2021,5,"francino",10305
"56",2021,6,"covid",50106
"57",2021,6,"robertogarrdner",13787
"58",2021,6,"santiagonadal",8912
"59",2021,6,"ainhoafariclee",6117
"60",2021,6,"petrogustavo",5726
"61",2021,7,"covid",177899
"62",2021,7,"nicolasmaduro",18810
"63",2021,7,"drpacomoreno1",14994
"64",2021,7,"diazcanelb",14934
"65",2021,7,"orianaggi",13386
"66",2021,8,"covid",154190
"67",2021,8,"fidel",22364
"68",2021,8,"santivallejos3",17132
"69",2021,8,"paty navidad",15262
"70",2021,8,"drpacomoreno1",14561
"71",2021,9,"covid",65695
"72",2021,9,"corona",11107
"73",2021,9,"roland carreño",9477
"74",2021,9,"juanchorubio",6514
"75",2021,9,"rolandcarreno",5929
"76",2021,10,"covid",58430
"77",2021,10,"baduel",16015
"78",2021,10,"nicolasmaduro",15914
"79",2021,10,"bolsonaro",12940
"80",2021,10,"raúl isaías baduel",10354
"81",2021,11,"covid",39856
"82",2021,11,"fidel",14271
"83",2021,11,"lopezobrador",9901
"84",2021,11,"drpacomoreno1",7410
"85",2021,11,"bolsonaro",5394
"86",2021,12,"covid",166556
"87",2021,12,"boric",28856
"88",2021,12,"akinomemaquillo",24038
"89",2021,12,"yolanda díaz",22970
"90",2021,12,"lauratomaslopez",18110
"91",2022,1,"covid",405151
"92",2022,1,"messi",72788
"93",2022,1,"lopezobrador",60178
"94",2022,1,"djokovic",37218
"95",2022,1,"po",29906
"96",2022,2,"covid",120752
"97",2022,2,"putin",25064
"98",2022,2,"taehyung",20110
"99",2022,2,"omar",14002
"100",2022,2,"claudiashein",12322
"101",2022,3,"covid",75446
"102",2022,3,"nicolasmaduro",27439
"103",2022,3,"jungkook",19903
"104",2022,3,"putin",11427
"105",2022,3,"hoseok",10350
"106",2022,4,"covid",27897
"107",2022,4,"drpacomoreno1",24334
"108",2022,4,"jungkook",12020
"109",2022,4,"nuria",5284
"110",2022,4,"cabrera",5280
"111",2022,5,"covid",41533
"112",2022,5,"bill gates",11456
"113",2022,5,"drpacomoreno1",9661
"114",2022,5,"fidel",7894
"115",2022,5,"chávez",7465
"116",2022,6,"covid",70074
"117",2022,6,"claudiashein",20584
"118",2022,6,"fonsiloaiza",14909
"119",2022,6,"drpacomoreno1",13742
"120",2022,6,"nicolasmaduro",13697
"121",2022,7,"covid",10451
"122",2022,7,"faatimatorres",9027
"123",2022,7,"ayuso",3644
"124",2022,7,"hectorrossete",2993
"125",2022,7,"claudiashein",2795
"126",2022,8,"covid",9824
"127",2022,8,"llaitul",5256
"128",2022,8,"delcyrodriguezv",2266
"129",2022,8,"karlamaestrella",1797
"130",2022,8,"aranzaflores",1795
"131",2022,9,"covid",13865
"132",2022,9,"delcyrodriguezv",13427
"133",2022,9,"nicolasmaduro",11141
"134",2022,9,"isabel ii",8224
"135",2022,9,"alfonsog3",5743
"136",2022,10,"covid",16856
"137",2022,10,"delcyrodriguezv",10913
"138",2022,10,"beatriztalegon",5975
"139",2022,10,"nicolasmaduro",3723
"140",2022,10,"ayuso",2624
"141",2022,11,"covid",30369
"142",2022,11,"gabicerru",16827
"143",2022,11,"gabriela cerruti",14821
"144",2022,11,"cerruti",9936
"145",2022,11,"delcyrodriguezv",7718
"146",2022,12,"elon musk",3211
"147",2022,12,"covid",3030
"148",2022,12,"alejoberme0",2886
"149",2022,12,"eduardomenoni",2183
"150",2022,12,"ayuso",1425
