"","Year","Month","Sentiment","Count","Avg_Per"
"1","2020",1,"negative",3936307,0.443228540395833
"2","2020",1,"neutral",4291158,0.512273238216667
"3","2020",1,"positive",391548,0.0444982213416667
"4","2020",2,"negative",8409525,0.453560793956897
"5","2020",2,"neutral",8670434,0.480567605198276
"6","2020",2,"positive",1198749,0.0658716008591954
"7","2020",3,"negative",16533099,0.445057612561828
"8","2020",3,"neutral",17214374,0.466088577297043
"9","2020",3,"positive",3189622,0.0888538101733871
"10","2020",4,"negative",23045515,0.446145251497222
"11","2020",4,"neutral",23697251,0.462633945744444
"12","2020",4,"positive",4538478,0.0912208027472222
"13","2020",5,"negative",32669339,0.471691736048387
"14","2020",5,"neutral",30880635,0.446799218768817
"15","2020",5,"positive",5584878,0.081509045188172
"16","2020",6,"negative",41515213,0.481248373433333
"17","2020",6,"neutral",37940992,0.432450535463889
"18","2020",6,"positive",7602628,0.0863010910763889
"19","2020",7,"negative",50499007,0.466758269487903
"20","2020",7,"neutral",47824023,0.444408542092742
"21","2020",7,"positive",9504422,0.0888331884072581
"22","2020",8,"negative",43885390,0.464684967554289
"23","2020",8,"neutral",41810620,0.444006703881954
"24","2020",8,"positive",8564701,0.0913083285278167
"25","2020",9,"negative",10110805,0.467895693907782
"26","2020",9,"neutral",9211242,0.431159858537377
"27","2020",9,"positive",2139655,0.100802921851563
"28","2022",11,"negative",8782623,0.506745192704934
"29","2022",11,"neutral",7070634,0.409897974643027
"30","2022",11,"positive",1469043,0.0833568326520385
