"","Year","Month","Sentiment","Count","Avg_Per"
"1","2020",1,"negative",307655,0.820998702275783
"2","2020",1,"neutral",46072,0.125452980244649
"3","2020",1,"positive",19456,0.053548317479568
"4","2020",2,"negative",3001983,0.80427535464879
"5","2020",2,"neutral",470658,0.130469952709913
"6","2020",2,"positive",229818,0.065254692641297
"7","2020",3,"negative",7058953,0.837357108977475
"8","2020",3,"neutral",830619,0.102847745896121
"9","2020",3,"positive",491024,0.059795145126404
"10","2020",4,"negative",10228062,0.843793564616126
"11","2020",4,"neutral",1159814,0.0972205243919256
"12","2020",4,"positive",700423,0.0589859109919484
"13","2020",5,"negative",10203238,0.835887804676284
"14","2020",5,"neutral",1249083,0.102203490199281
"15","2020",5,"positive",739910,0.0619087051244348
"16","2020",6,"negative",15618502,0.836012880587785
"17","2020",6,"neutral",2025919,0.107332396241074
"18","2020",6,"positive",1038437,0.0566547231711411
"19","2020",7,"negative",15774008,0.834979994754146
"20","2020",7,"neutral",2047479,0.107686052349461
"21","2020",7,"positive",1075557,0.0573339528963932
"22","2020",8,"negative",17288028,0.83029152221548
"23","2020",8,"neutral",2282014,0.108052607917933
"24","2020",8,"positive",1265439,0.061655869866587
"25","2020",9,"negative",10098247,0.808268903457549
"26","2020",9,"neutral",1460886,0.116919046958968
"27","2020",9,"positive",953872,0.0748120495834829
"28","2020",10,"negative",10495223,0.816534316430423
"29","2020",10,"neutral",1494078,0.115312037704797
"30","2020",10,"positive",870490,0.0681536458647809
"31","2020",11,"negative",9309560,0.820581712217335
"32","2020",11,"neutral",1338404,0.117852595592579
"33","2020",11,"positive",695255,0.0615656921900868
"34","2020",12,"negative",11893447,0.828392170458615
"35","2020",12,"neutral",1646325,0.116752729166805
"36","2020",12,"positive",770664,0.0548551003745796
"37","2021",1,"negative",17687596,0.836346362021893
"38","2021",1,"neutral",2280055,0.108385691819791
"39","2021",1,"positive",1139929,0.0552679461583151
"40","2021",2,"negative",11890534,0.843838348301078
"41","2021",2,"neutral",1461611,0.103228844297071
"42","2021",2,"positive",746701,0.0529328074018509
"43","2021",3,"negative",15624961,0.827379735127385
"44","2021",3,"neutral",2210627,0.115132122879443
"45","2021",3,"positive",1077891,0.0574881419931723
"46","2021",4,"negative",17319534,0.834419132742364
"47","2021",4,"neutral",2251214,0.107306237018446
"48","2021",4,"positive",1174825,0.0582746302391908
"49","2021",5,"negative",10429551,0.841363477659854
"50","2021",5,"neutral",1283232,0.104353727982906
"51","2021",5,"positive",647941,0.0542827943572401
"52","2021",6,"negative",9508344,0.848783459412006
"53","2021",6,"neutral",1144619,0.102735499608578
"54","2021",6,"positive",532818,0.0484810409794159
"55","2021",7,"negative",9303432,0.849834006836605
"56","2021",7,"neutral",1094136,0.0997459212721371
"57","2021",7,"positive",538800,0.0504200718912579
"58","2021",8,"negative",1829220,0.819625161803313
"59","2021",8,"neutral",231922,0.112288976591269
"60","2021",8,"positive",94847,0.0447912177218867
"61","2022",12,"negative",272765,0.842255643728055
"62","2022",12,"neutral",34483,0.100497477418353
"63","2022",12,"positive",20093,0.0572468788535922
